,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
0,B1,2017-07-28,,Antwerp,Anderlecht,0.0,0.0,0.0,0.0,D,D,0.15,0.65,0.1,0.3,0.3055,0.207,0.08499999999999999,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B1,2017-07-29,,Charleroi,Kortrijk,0.1,0.0,0.1,0.0,H,H,0.3,0.45,0.1,0.05,0.08349999999999999,0.20099999999999998,0.281,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B1,2017-07-29,,Eupen,Waregem,0.0,0.5,0.0,0.1,A,A,0.15,0.65,0.05,0.45,0.14150000000000001,0.178,0.13,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B1,2017-07-29,,Genk,Waasland-Beveren,0.3,0.3,0.0,0.1,D,A,0.55,0.45,0.25,0.3,0.072,0.2585,0.44800000000000006,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B1,2017-07-29,,Lokeren,Club Brugge,0.0,0.4,0.0,0.3,A,A,0.55,0.45,0.2,0.2,0.2165,0.189,0.0965,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B1,2017-07-30,,Mechelen,Standard,0.1,0.1,0.1,0.1,D,D,0.3,0.25,0.1,0.05,0.13899999999999998,0.175,0.134,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B1,2017-07-30,,Oostende,Mouscron,0.0,0.1,0.0,0.0,A,D,0.4,0.4,0.2,0.2,0.0785,0.22549999999999998,0.3125,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B1,2017-07-30,,St Truiden,Gent,0.3,0.2,0.0,0.1,H,A,0.75,0.5,0.45,0.25,0.16599999999999998,0.17099999999999999,0.11750000000000001,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B1,2017-08-04,,Standard,Genk,0.2,0.1,0.0,0.1,H,A,0.25,0.35,0.15,0.2,0.12,0.175,0.16599999999999998,1.0,0.0,1,1,0.1,0.1,0.3,0.3,0.25,0.3,0.55,0.45,0.05,0.1,0.25,0.3,0.3333333333333333,0.3333333333333333,9.0,6.0,0.1,0.1,0.0,0.1,0.25960873239960974,0.38175824451256996,,,1.0,0.2,1.0,0.45454545454545453
9,B1,2017-08-05,,Kortrijk,Lokeren,0.1,0.0,0.1,0.0,H,H,1.0,0.55,0.5,0.25,0.1115,0.1775,0.175,1.0,0.0,1,1,0.0,0.1,0.0,0.4,0.45,0.3,0.55,0.45,0.05,0.1,0.2,0.2,0.0,0.0,13.0,15.0,0.0,0.1,0.0,0.3,0.08483345812218186,0.11850581924752453,,,0.0,0.11111111111111112,0.0,0.36363636363636365
10,B1,2017-08-05,,Mouscron,Charleroi,0.2,0.5,0.1,0.3,A,A,0.55,0.35,0.25,0.35,0.1685,0.16799999999999998,0.11750000000000001,0.0,1.0,1,1,0.1,0.0,0.1,0.0,0.4,0.4,0.3,0.45,0.2,0.2,0.1,0.05,1.0,1.0,5.0,4.0,0.0,0.0,0.1,0.0,0.3868199793948321,0.08483345812218186,,,0.5,0.5,1.0,0.33333333333333337
11,B1,2017-08-05,,Waasland-Beveren,Mechelen,0.2,0.2,0.1,0.1,D,D,0.85,0.55,0.5,0.25,0.135,0.17350000000000002,0.13999999999999999,0.3333333333333333,0.3333333333333333,1,1,0.3,0.3,0.1,0.1,0.45,0.55,0.3,0.25,0.3,0.25,0.1,0.05,0.3333333333333333,0.3333333333333333,8.0,9.0,0.1,0.0,0.1,0.1,0.38175824451256996,0.25960873239960974,,,1.0,0.6666666666666666,1.0,0.33333333333333337
12,B1,2017-08-05,,Waregem,St Truiden,0.2,0.0,0.0,0.0,H,D,0.7,0.1,0.35,0.1,0.096,0.1875,0.22000000000000003,1.0,0.0,1,1,0.5,0.0,0.3,0.2,0.65,0.15,0.75,0.5,0.45,0.05,0.45,0.25,1.0,1.0,3.0,5.0,0.1,0.0,0.0,0.1,0.1941544985508298,0.2516295024156075,,,1.0,0.6923076923076923,0.6666666666666666,0.6
13,B1,2017-08-06,,Anderlecht,Oostende,0.1,0.0,0.0,0.0,H,D,0.85,0.5,0.4,0.35,0.072,0.266,0.425,1.0,0.0,1,1,0.0,0.0,0.0,0.1,0.65,0.15,0.4,0.4,0.3,0.1,0.2,0.2,0.3333333333333333,0.0,10.0,14.0,0.0,0.0,0.0,0.0,0.3160199972597046,0.3868199793948321,,,0.0,0.4615384615384615,0.0,0.5
14,B1,2017-08-06,,Club Brugge,Eupen,0.3,0.1,0.1,0.1,H,D,0.65,0.4,0.25,0.2,0.063,0.34500000000000003,0.65,1.0,0.0,1,1,0.4,0.0,0.0,0.5,0.45,0.55,0.15,0.65,0.2,0.2,0.05,0.45,1.0,0.0,5.0,15.0,0.3,0.0,0.0,0.1,0.11850581924752453,0.1941544985508298,,,1.0,0.4444444444444445,0.0,0.33333333333333337
15,B1,2017-08-06,,Gent,Antwerp,0.0,0.1,0.0,0.1,A,A,0.7,0.1,0.15,0.05,0.0755,0.225,0.375,0.0,1.0,1,1,0.2,0.3,0.0,0.0,0.5,0.75,0.15,0.65,0.25,0.45,0.1,0.3,0.0,0.3333333333333333,13.0,11.0,0.1,0.0,0.0,0.0,0.2516295024156075,0.3160199972597046,,,0.8,0.5,0.0,0.6666666666666667
16,B1,2017-08-11,,Waregem,Club Brugge,0.1,0.2,0.0,0.1,A,A,0.35,0.4,0.15,0.3,0.16499999999999998,0.1845,0.11399999999999999,0.0,1.0,2,2,0.35,0.0,0.35,0.05,0.675,0.125,0.55,0.47500000000000003,0.4,0.07500000000000001,0.225,0.2,1.0,1.0,1.0,2.0,0.05,0.0,0.2,0.05,0.1558046989616714,0.07083643387084644,,,0.8749999999999999,0.5925925925925926,1.0,0.40909090909090906
17,B1,2017-08-12,,Eupen,Kortrijk,0.1,0.2,0.0,0.1,A,A,0.8,0.45,0.35,0.3,0.11399999999999999,0.185,0.16499999999999998,0.0,1.0,2,2,0.05,0.4,0.05,0.05,0.275,0.65,0.725,0.42500000000000004,0.125,0.35,0.275,0.175,0.0,0.5,16.0,7.0,0.05,0.1,0.05,0.05,0.10866077352249907,0.11995188060459222,,,0.4,0.45454545454545453,0.18181818181818182,0.37931034482758624
18,B1,2017-08-12,,Lokeren,Mouscron,0.0,0.2,0.0,0.1,A,A,0.25,0.4,0.1,0.35,0.094,0.1875,0.23149999999999998,0.0,1.0,2,2,0.0,0.25,0.15000000000000002,0.25,0.55,0.725,0.47500000000000003,0.375,0.225,0.35,0.225,0.275,0.0,0.5,15.0,9.0,0.0,0.2,0.05,0.15,0.13678806116726355,0.27785046897309074,,,0.0,0.40909090909090906,0.6666666666666667,0.47368421052631576
19,B1,2017-08-12,,Mechelen,Gent,0.1,0.1,0.0,0.1,D,A,0.45,0.65,0.25,0.35,0.16,0.17450000000000002,0.125,0.3333333333333333,0.3333333333333333,2,2,0.15000000000000002,0.15000000000000002,0.1,0.2,0.42500000000000004,0.55,0.6,0.425,0.175,0.275,0.2,0.25,0.3333333333333333,0.0,11.0,13.0,0.1,0.1,0.05,0.05,0.25837213718386937,0.3323265982984754,,,0.8571428571428573,0.41176470588235287,0.5,0.33333333333333337
20,B1,2017-08-12,,Oostende,Waasland-Beveren,0.0,0.3,0.0,0.3,A,A,0.8,0.5,0.5,0.35,0.0875,0.20750000000000002,0.25,0.0,1.0,2,2,0.0,0.1,0.25,0.25,0.45,0.625,0.65,0.55,0.275,0.30000000000000004,0.4,0.25,0.0,0.3333333333333333,14.0,11.0,0.0,0.0,0.1,0.05,0.2171662764665046,0.31944689324034947,,,0.0,0.6111111111111112,0.625,0.6153846153846154
21,B1,2017-08-13,,Antwerp,Genk,0.3,0.5,0.1,0.4,A,A,0.4,0.6,0.25,0.4,0.179,0.172,0.11000000000000001,0.0,1.0,2,2,0.05,0.0,0.2,0.25,0.125,0.675,0.45,0.35,0.07500000000000001,0.22499999999999998,0.225,0.22499999999999998,0.6666666666666666,0.16666666666666666,9.0,12.0,0.05,0.0,0.05,0.05,0.36452184572052393,0.27631825125541126,,,0.6666666666666666,0.6000000000000001,0.888888888888889,0.5
22,B1,2017-08-13,,Charleroi,Anderlecht,0.2,0.0,0.0,0.0,H,D,0.4,0.4,0.2,0.3,0.2165,0.179,0.0975,1.0,0.0,2,2,0.3,0.1,0.05,0.0,0.32499999999999996,0.5,0.75,0.325,0.22499999999999998,0.15,0.35,0.22499999999999998,1.0,0.6666666666666666,3.0,8.0,0.2,0.05,0.0,0.0,0.12685720833676564,0.18176628539894085,,,1.0,0.6923076923076923,0.14285714285714288,0.4666666666666666
