,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
0,D1,2006-01-10,,Hertha,Stuttgart,0.2,0.2,0.2,0.1,D,H,0.85,0.9,0.55,0.45,0.1125,0.16499999999999998,0.1825,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D1,2006-01-10,,Leverkusen,Schalke 04,0.3,0.1,0.1,0.1,H,D,1.0,0.6,0.6,0.3,0.1275,0.1695,0.16,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D1,2006-01-12,,Mainz,Stuttgart,0.0,0.0,0.0,0.0,D,D,0.5,0.8,0.25,0.45,0.2165,0.1775,0.10300000000000001,0.3333333333333333,0.3333333333333333,0,1,,,0.2,0.2,,,0.9,0.85,,,0.45,0.55,,0.3333333333333333,,3.0,,,0.1,0.2,,0.2527862032478473,,,,,0.4444444444444445,0.5
3,D1,2006-02-12,,Bayern Munich,M'gladbach,0.1,0.1,0.1,0.1,D,D,1.0,0.35,0.55,0.2,0.061,0.3005,0.8,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D1,2006-02-12,,Bielefeld,Leverkusen,0.0,0.0,0.0,0.0,D,D,0.75,0.25,0.4,0.05,0.125,0.1675,0.15,0.3333333333333333,0.3333333333333333,0,1,,,0.3,0.1,,,1.0,0.6,,,0.6,0.3,,1.0,,1.0,,,0.1,0.1,,0.18471527588684186,,,,,0.5,0.6
5,D1,2006-02-12,,Bochum,Hamburg,0.2,0.1,0.1,0.1,H,D,0.5,0.65,0.45,0.35,0.15,0.1625,0.1375,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D1,2006-02-12,,Cottbus,Hannover,0.0,0.1,0.0,0.1,A,A,0.2,0.45,0.1,0.25,0.12250000000000001,0.1625,0.155,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D1,2006-02-12,,Dortmund,Wolfsburg,0.1,0.0,0.0,0.0,H,D,0.6,0.3,0.3,0.1,0.0925,0.175,0.25,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D1,2006-02-12,,Werder Bremen,Hertha,0.3,0.1,0.3,0.1,H,H,1.0,0.75,0.65,0.45,0.08499999999999999,0.19,0.29,1.0,0.0,0,1,,,0.2,0.2,,,0.85,0.9,,,0.55,0.45,,0.3333333333333333,,6.0,,,0.2,0.1,,0.2527862032478473,,,,,0.36363636363636365,0.6470588235294118
9,D1,2006-03-11,,Hannover,Bochum,0.0,0.2,0.0,0.1,A,A,0.4,0.4,0.2,0.25,0.1,0.16999999999999998,0.2225,0.0,1.0,1,1,0.1,0.0,0.2,0.1,0.45,0.2,0.5,0.65,0.25,0.1,0.45,0.35,1.0,1.0,5.0,3.0,0.1,0.0,0.1,0.1,0.24005626322282256,0.22378346853871334,,,0.4,0.5555555555555556,0.4444444444444445,0.9
10,D1,2006-03-12,,Aachen,Ein Frankfurt,0.2,0.3,0.1,0.2,A,A,1.0,0.55,0.55,0.35,0.12,0.1625,0.16,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D1,2006-03-12,,Nurnberg,Schalke 04,0.0,0.0,0.0,0.0,D,D,0.7,0.45,0.4,0.4,0.1625,0.1625,0.12050000000000001,0.3333333333333333,0.3333333333333333,0,1,,,0.1,0.3,,,0.6,1.0,,,0.3,0.6,,0.0,,18.0,,,0.1,0.1,,0.18471527588684186,,,,,0.33333333333333337,0.5
