,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
0,F1,2005-01-10,,Metz,Bordeaux,0.0,0.1,0.0,0.0,A,D,0.45,0.55,0.05,0.15,0.16499999999999998,0.145,0.1285,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F1,2005-01-10,,Paris SG,Nantes,0.2,0.0,0.0,0.0,H,D,1.0,0.4,0.45,0.0,0.08499999999999999,0.16999999999999998,0.325,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,F1,2005-01-10,,Sochaux,Nancy,0.0,0.2,0.0,0.0,A,D,0.55,0.5,0.3,0.25,0.10500000000000001,0.1525,0.225,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,F1,2005-01-10,,St Etienne,Le Mans,0.3,0.0,0.1,0.0,H,H,0.35,0.3,0.15,0.1,0.095,0.16,0.275,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,F1,2005-02-10,,Lille,Monaco,0.0,0.1,0.0,0.0,A,D,0.7,0.45,0.3,0.25,0.13,0.16,0.1825,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,F1,2005-02-10,,Nice,Marseille,0.0,0.1,0.0,0.0,A,D,0.5,0.5,0.15,0.2,0.1325,0.15,0.1625,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,F1,2005-02-10,,Rennes,Lyon,0.1,0.3,0.1,0.0,A,H,0.3,0.6,0.1,0.35,0.2,0.155,0.11000000000000001,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,F1,2005-02-10,,Toulouse,Auxerre,0.2,0.0,0.0,0.0,H,D,0.55,0.35,0.2,0.2,0.12250000000000001,0.15,0.16999999999999998,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,F1,2005-02-10,,Troyes,Strasbourg,0.1,0.1,0.0,0.1,D,A,0.3,0.3,0.1,0.2,0.1125,0.1525,0.1875,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,F1,2005-03-12,,Ajaccio,Troyes,0.0,0.1,0.0,0.0,A,D,0.65,0.65,0.1,0.3,0.11000000000000001,0.15,0.225,0.0,1.0,0,1,,,0.1,0.1,,,0.3,0.3,,,0.1,0.2,,0.3333333333333333,,10.0,,,0.0,0.1,,0.24013408493446717,,,,,1.0,0.33333333333333337
