,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
0,G1,2017-01-10,,Asteras Tripolis,AEK,0.2,0.0,0.0,0.0,H,D,0.25,0.4,0.2,0.15,0.25,0.175,0.09,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G1,2017-01-10,,Kerkyra,Xanthi,0.0,0.2,0.0,0.0,A,D,0.25,0.45,0.15,0.25,0.145,0.14750000000000002,0.13999999999999999,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G1,2017-01-10,,Levadeiakos,Apollon,0.2,0.1,0.0,0.1,H,A,0.65,0.25,0.35,0.1,0.11499999999999999,0.15,0.185,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,G1,2017-01-10,,Olympiakos,Atromitos,0.0,0.1,0.0,0.0,A,D,0.75,0.25,0.2,0.05,0.0665,0.275,0.5,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,G1,2017-02-10,,Lamia,Panionios,0.1,0.0,0.0,0.0,H,D,0.75,0.8,0.3,0.5,0.16999999999999998,0.14750000000000002,0.12250000000000001,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,G1,2017-02-12,,Asteras Tripolis,Kerkyra,0.4,0.0,0.3,0.0,H,H,0.55,0.2,0.4,0.1,0.0875,0.1825,0.3195,1.0,0.0,1,1,0.2,0.0,0.0,0.2,0.25,0.4,0.25,0.45,0.2,0.15,0.15,0.25,1.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.3434248761232889,0.21569362636452452,,,1.0,0.8,0.0,0.6
6,G1,2017-02-12,,Olympiakos,Apollon,0.3,0.1,0.1,0.1,H,D,0.95,0.15,0.65,0.05,0.057999999999999996,0.45,1.0,1.0,0.0,1,1,0.0,0.1,0.1,0.2,0.75,0.25,0.25,0.65,0.2,0.05,0.1,0.35,0.0,0.0,13.0,12.0,0.0,0.0,0.1,0.0,0.46946031112703773,0.16787594317865606,,,0.0,0.26666666666666666,1.0,0.4
7,G1,2017-02-12,,Xanthi,PAOK,0.0,0.3,0.0,0.2,A,A,0.2,0.3,0.1,0.25,0.325,0.1715,0.09,0.0,1.0,1,0,0.2,0.0,,,0.45,0.25,,,0.25,0.15,,,1.0,,2.0,,0.0,0.0,,,0.21569362636452452,,,,0.8,0.5555555555555556,,
8,G1,2017-03-12,,Lamia,Panetolikos,0.2,0.2,0.0,0.2,D,A,0.45,0.35,0.15,0.2,0.135,0.14550000000000002,0.1645,0.3333333333333333,0.3333333333333333,1,0,0.1,0.0,,,0.75,0.8,,,0.3,0.5,,,1.0,,5.0,,0.0,0.0,,,0.25992555203365925,,,,0.33333333333333337,0.39999999999999997,,
9,G1,2017-03-12,,Larisa,Giannina,0.1,0.1,0.1,0.0,D,H,0.5,0.4,0.15,0.2,0.1275,0.15,0.18,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,G1,2017-03-12,,Levadeiakos,AEK,0.0,0.2,0.0,0.0,A,D,0.25,0.95,0.05,0.3,0.3,0.17250000000000001,0.089,0.0,1.0,1,1,0.2,0.1,0.0,0.2,0.65,0.25,0.4,0.25,0.35,0.1,0.15,0.2,1.0,0.0,4.0,14.0,0.0,0.1,0.0,0.0,0.16787594317865606,0.3434248761232889,,,0.5714285714285715,0.5384615384615384,0.0,0.37499999999999994
11,G1,2017-03-12,,Panathinaikos,Panionios,0.0,0.1,0.0,0.0,A,D,0.45,0.45,0.2,0.15,0.08399999999999999,0.181,0.35,0.0,1.0,0,1,,,0.0,0.1,,,0.8,0.75,,,0.5,0.3,,0.0,,14.0,,,0.0,0.0,,0.25992555203365925,,,,,0.0,0.625
12,G1,2017-04-11,,Asteras Tripolis,Panathinaikos,0.1,0.0,0.0,0.0,H,D,0.45,0.2,0.25,0.1,0.1625,0.1525,0.135,1.0,0.0,2,1,0.30000000000000004,0.0,0.0,0.1,0.4,0.30000000000000004,0.45,0.45,0.30000000000000004,0.125,0.2,0.15,1.0,0.0,1.0,14.0,0.15,0.0,0.0,0.0,0.21891660340701774,0.3884375048378852,,,1.0,0.7500000000000001,0.0,0.4444444444444445
13,G1,2017-04-11,,Atromitos,Panionios,0.0,0.0,0.0,0.0,D,D,0.65,0.4,0.35,0.15,0.1135,0.16,0.197,0.3333333333333333,0.3333333333333333,1,2,0.1,0.0,0.05,0.05,0.25,0.75,0.625,0.6,0.05,0.2,0.325,0.25,1.0,0.5,4.0,7.0,0.0,0.0,0.0,0.0,0.46946031112703773,0.3241815284357722,,,1.0,0.2,0.15384615384615385,0.52
14,G1,2017-04-11,,Panetolikos,Xanthi,0.1,0.3,0.0,0.3,A,A,0.55,0.3,0.35,0.25,0.11499999999999999,0.15,0.21749999999999997,0.0,1.0,1,2,0.2,0.2,0.1,0.15,0.35,0.45,0.325,0.275,0.2,0.15,0.175,0.2,0.3333333333333333,0.5,10.0,8.0,0.2,0.0,0.0,0.1,0.22012188880717307,0.1588798299779166,,,1.0,0.5714285714285715,0.5714285714285715,0.5384615384615384
15,G1,2017-04-12,,Platanias,Atromitos,0.1,0.3,0.1,0.0,A,H,0.6,0.6,0.45,0.3,0.2,0.155,0.1125,0.0,1.0,0,2,,,0.05,0.0,,,0.45,0.575,,,0.19999999999999998,0.175,,0.6666666666666666,,4.0,,,0.0,0.0,,0.3565867847389058,,,,,0.25000000000000006,0.4444444444444444
16,G1,2017-05-11,,AEK,PAOK,0.1,0.0,0.1,0.0,H,H,0.15,0.2,0.1,0.05,0.11599999999999999,0.159,0.1815,1.0,0.0,2,1,0.1,0.1,0.3,0.0,0.675,0.25,0.3,0.2,0.22499999999999998,0.125,0.25,0.1,0.5,1.0,8.0,6.0,0.0,0.0,0.2,0.0,0.22234826310397882,0.10206603359130872,,,0.44444444444444453,0.33333333333333326,1.0,0.8333333333333334
17,G1,2017-05-11,,Apollon,Giannina,0.4,0.3,0.2,0.2,H,D,0.5,0.55,0.3,0.45,0.1375,0.14750000000000002,0.162,1.0,0.0,2,1,0.1,0.25,0.1,0.1,0.2,0.8,0.4,0.5,0.07500000000000001,0.5,0.2,0.15,0.0,0.3333333333333333,15.0,10.0,0.1,0.05,0.0,0.1,0.08958307980363296,0.22513064775656091,,,1.0,0.37500000000000006,0.5,0.5
18,G1,2017-05-11,,Kerkyra,Larisa,0.1,0.1,0.1,0.1,D,D,0.55,0.25,0.15,0.1,0.119,0.15,0.1935,0.3333333333333333,0.3333333333333333,2,1,0.0,0.30000000000000004,0.1,0.1,0.225,0.5,0.5,0.4,0.125,0.325,0.15,0.2,0.0,0.3333333333333333,16.0,11.0,0.0,0.15,0.1,0.0,0.15505097852763555,0.22513064775656091,,,0.0,0.5555555555555556,0.6666666666666667,0.3
