,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
0,I1,2005-01-10,,Chievo,Treviso,0.0,0.0,0.0,0.0,D,D,0.55,0.35,0.0,0.15,0.08249999999999999,0.175,0.4,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,I1,2005-01-10,,Udinese,Lazio,0.3,0.0,0.0,0.0,H,D,0.95,0.3,0.5,0.05,0.10500000000000001,0.16,0.225,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,I1,2005-02-10,,Ascoli,Parma,0.3,0.1,0.2,0.1,H,H,0.5,0.5,0.3,0.2,0.135,0.1575,0.15,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,I1,2005-02-10,,Fiorentina,Livorno,0.3,0.2,0.2,0.0,H,H,0.55,0.45,0.25,0.25,0.08499999999999999,0.1695,0.31,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,I1,2005-02-10,,Juventus,Inter,0.2,0.0,0.2,0.0,H,H,0.4,0.55,0.25,0.3,0.11499999999999999,0.15,0.2,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,I1,2005-02-10,,Lecce,Cagliari,0.3,0.0,0.2,0.0,H,H,0.55,0.85,0.4,0.35,0.1125,0.1525,0.2,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I1,2005-02-10,,Messina,Sampdoria,0.1,0.4,0.0,0.1,A,A,0.9,0.6,0.5,0.35,0.145,0.15,0.15,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,I1,2005-02-10,,Milan,Reggina,0.2,0.1,0.2,0.0,H,H,0.85,0.4,0.35,0.05,0.061,0.35,0.9085000000000001,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,I1,2005-02-10,,Palermo,Empoli,0.2,0.2,0.1,0.2,D,A,1.0,0.25,0.5,0.2,0.08,0.185,0.425,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,I1,2005-02-10,,Roma,Siena,0.2,0.3,0.0,0.1,A,A,0.75,0.25,0.45,0.2,0.0775,0.1925,0.425,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,I1,2005-03-12,,Chievo,Milan,0.2,0.1,0.1,0.1,H,D,0.5,0.65,0.25,0.2,0.31,0.16799999999999998,0.09,1.0,0.0,1,1,0.0,0.0,0.2,0.1,0.55,0.35,0.85,0.4,0.0,0.15,0.35,0.05,0.3333333333333333,1.0,11.0,6.0,0.0,0.0,0.2,0.0,0.2977128466170674,0.018651746629229648,,,,0.0,0.5714285714285715,0.4117647058823529
11,I1,2005-03-12,,Inter,Ascoli,0.1,0.0,0.1,0.0,H,H,0.75,0.45,0.4,0.15,0.0625,0.325,0.9,1.0,0.0,1,1,0.0,0.2,0.3,0.1,0.55,0.4,0.5,0.5,0.3,0.25,0.3,0.2,0.0,1.0,17.0,6.0,0.0,0.2,0.2,0.1,0.16436060351466777,0.20277521159355374,,,0.0,0.5454545454545454,1.0,0.6
12,I1,2005-04-12,,Fiorentina,Juventus,0.1,0.2,0.1,0.1,A,D,,,,,0.18,0.1625,0.121,0.0,1.0,1,1,0.3,0.2,0.2,0.0,0.55,0.45,0.4,0.55,0.25,0.25,0.25,0.3,1.0,1.0,7.0,5.0,0.2,0.0,0.2,0.0,0.09419367977373101,0.16436060351466777,,,1.0,0.45454545454545453,0.8,0.625
13,I1,2005-04-12,,Lazio,Siena,0.3,0.2,0.1,0.0,H,H,,,,,0.0915,0.175,0.2725,1.0,0.0,1,1,0.0,0.3,0.3,0.2,0.3,0.95,0.25,0.75,0.05,0.5,0.2,0.45,0.0,1.0,19.0,7.0,0.0,0.0,0.1,0.0,0.1404717944276476,0.4207482686211343,,,0.0,0.16666666666666669,1.0,0.8
14,I1,2005-04-12,,Lecce,Roma,0.2,0.2,0.0,0.2,D,A,,,,,0.16999999999999998,0.1625,0.125,0.3333333333333333,0.3333333333333333,1,1,0.3,0.0,0.2,0.3,0.55,0.85,0.75,0.25,0.4,0.35,0.45,0.2,1.0,0.0,4.0,16.0,0.2,0.0,0.0,0.1,0.1595466532404781,0.4207482686211343,,,0.7499999999999999,0.7272727272727273,0.4444444444444445,0.6
15,I1,2005-04-12,,Palermo,Cagliari,0.2,0.2,0.2,0.0,D,H,,,,,0.08349999999999999,0.17350000000000002,0.3375,0.3333333333333333,0.3333333333333333,1,1,0.2,0.2,0.0,0.3,1.0,0.25,0.85,0.55,0.5,0.2,0.35,0.4,0.3333333333333333,0.0,13.0,19.0,0.1,0.2,0.0,0.2,0.31232376963375047,0.1595466532404781,,,0.4,0.5,0.0,0.4117647058823529
16,I1,2005-04-12,,Reggina,Parma,0.2,0.1,0.2,0.1,H,H,,,,,0.1,0.16499999999999998,0.24,1.0,0.0,1,1,0.1,0.2,0.1,0.3,0.4,0.85,0.5,0.5,0.05,0.35,0.2,0.3,0.0,0.0,18.0,19.0,0.0,0.2,0.1,0.2,0.018651746629229648,0.20277521159355374,,,1.0,0.125,0.5,0.4
17,I1,2005-04-12,,Sampdoria,Empoli,0.2,0.0,0.0,0.0,H,D,,,,,0.0875,0.18,0.31,1.0,0.0,1,1,0.4,0.1,0.2,0.2,0.6,0.9,0.25,1.0,0.35,0.5,0.2,0.5,1.0,0.3333333333333333,4.0,14.0,0.1,0.0,0.2,0.1,0.2248205399216101,0.31232376963375047,,,1.0,0.5833333333333334,1.0,0.8
18,I1,2005-04-12,,Treviso,Messina,0.0,0.0,0.0,0.0,D,D,,,,,0.125,0.155,0.16499999999999998,0.3333333333333333,0.3333333333333333,1,1,0.0,0.0,0.1,0.4,0.35,0.55,0.9,0.6,0.15,0.0,0.5,0.35,0.3333333333333333,0.0,14.0,20.0,0.0,0.0,0.0,0.1,0.2977128466170674,0.2248205399216101,,,0.0,0.4285714285714286,0.2,0.5555555555555556
19,I1,2005-04-12,,Udinese,Livorno,0.0,0.2,0.0,0.1,A,A,,,,,0.10500000000000001,0.16,0.23500000000000001,0.0,1.0,1,1,0.3,0.0,0.2,0.3,0.95,0.3,0.45,0.55,0.5,0.05,0.25,0.25,1.0,0.0,5.0,19.0,0.0,0.0,0.0,0.2,0.1404717944276476,0.09419367977373101,,,0.6,0.5263157894736842,0.8,0.5555555555555556
20,I1,2005-05-11,,Empoli,Reggina,0.3,0.0,0.1,0.0,H,H,0.6,0.55,0.4,0.2,0.10049999999999999,0.16,0.2375,1.0,0.0,2,2,0.1,0.2,0.15000000000000002,0.15000000000000002,,,,,,,,,0.16666666666666666,0.5,17.0,11.0,0.1,0.05,0.1,0.15000000000000002,0.20396997337905592,0.073530897036684,,,,,,
21,I1,2005-05-11,,Lazio,Inter,0.0,0.0,0.0,0.0,D,D,0.35,0.45,0.15,0.15,0.2,0.16,0.11499999999999999,0.3333333333333333,0.3333333333333333,2,2,0.15,0.25,0.05,0.1,,,0.65,0.42500000000000004,,,0.35,0.2,0.5,0.5,13.0,12.0,0.05,0.0,0.05,0.1,0.123737428911533,0.09330614489172404,,,,,0.14285714285714288,0.5384615384615384
22,I1,2005-06-11,,Ascoli,Fiorentina,0.0,0.2,0.0,0.1,A,A,0.25,0.55,0.15,0.25,0.225,0.1625,0.10500000000000001,0.0,1.0,2,2,0.15,0.1,0.2,0.2,0.475,0.625,,,0.22499999999999998,0.30000000000000004,,,0.5,0.5,9.0,12.0,0.1,0.1,0.15000000000000002,0.05,0.11251344893116702,0.13312052870181726,,,0.6666666666666667,0.47368421052631576,,
23,I1,2005-06-11,,Cagliari,Treviso,0.0,0.0,0.0,0.0,D,D,0.7,0.35,0.35,0.1,0.0975,0.16,0.27,0.3333333333333333,0.3333333333333333,2,2,0.1,0.25,0.0,0.0,,,,,,,,,0.16666666666666666,0.3333333333333333,18.0,16.0,0.0,0.2,0.0,0.0,0.22763892271297154,0.2673104811193222,,,,,,
24,I1,2005-06-11,,Juventus,Livorno,0.3,0.0,0.0,0.0,H,D,0.9,0.35,0.35,0.15,0.065,0.29700000000000004,0.7,1.0,0.0,2,2,0.2,0.05,0.2,0.15,,,,,,,,,1.0,0.5,2.0,9.0,0.15000000000000002,0.05,0.05,0.1,0.16820399057228563,0.20445534944839094,,,,,,
25,I1,2005-06-11,,Messina,Roma,0.0,0.2,0.0,0.1,A,A,0.55,0.45,0.35,0.25,0.1825,0.1575,0.11499999999999999,0.0,1.0,2,2,0.05,0.2,0.2,0.25,,,,,,,,,0.16666666666666666,0.16666666666666666,19.0,18.0,0.0,0.05,0.1,0.05,0.23086432777159355,0.33133998950053734,,,,,,
26,I1,2005-06-11,,Milan,Udinese,0.5,0.1,0.3,0.0,H,H,0.35,0.2,0.2,0.15,0.0715,0.225,0.475,1.0,0.0,2,2,0.15000000000000002,0.15000000000000002,0.15,0.1,0.75,0.45,,,0.275,0.15,,,0.5,0.5,12.0,10.0,0.15000000000000002,0.05,0.0,0.05,0.19276803928314637,0.22759440677534926,,,0.5454545454545455,0.3666666666666667,,
27,I1,2005-06-11,,Palermo,Sampdoria,0.0,0.2,0.0,0.1,A,A,0.75,0.4,0.35,0.15,0.1125,0.155,0.1925,0.0,1.0,2,2,0.2,0.2,0.30000000000000004,0.05,,,,,,,,,0.3333333333333333,1.0,17.0,2.0,0.15000000000000002,0.1,0.05,0.0,0.30402748090960774,0.16021835852298574,,,,,,
28,I1,2005-06-11,,Parma,Lecce,0.2,0.0,0.1,0.0,H,H,0.25,0.5,0.15,0.2,0.0955,0.16499999999999998,0.25,1.0,0.0,2,2,0.1,0.25,0.25,0.1,,,,,,,,,0.0,0.6666666666666666,20.0,5.0,0.1,0.2,0.1,0.1,0.16559262951884607,0.20073918181020922,,,,,,
29,I1,2005-06-11,,Siena,Chievo,0.0,0.1,0.0,0.1,A,A,0.65,0.4,0.25,0.25,0.12450000000000001,0.16,0.18,0.0,1.0,2,2,0.25,0.25,0.1,0.05,,,0.525,0.5,,,0.125,0.175,0.5,0.6666666666666666,11.0,6.0,0.05,0.05,0.05,0.05,0.26387566600827633,0.33229858927706524,,,,,0.8,0.23809523809523808
30,I1,2005-08-27,,Fiorentina,Sampdoria,0.2,0.1,0.2,0.0,H,H,0.75,0.45,0.45,0.2,0.11750000000000001,0.15,0.185,1.0,0.0,3,3,0.20000000000000004,0.13333333333333333,0.26666666666666666,0.03333333333333333,,,,,,,,,0.6666666666666666,1.0,5.0,1.0,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.13523965130076268,0.20120930789083755,0.6666666666666666,1.0,,,,
31,I1,2005-08-27,,Livorno,Lecce,0.2,0.1,0.1,0.1,H,D,0.85,0.3,0.35,0.25,0.1,0.16,0.225,1.0,0.0,3,3,0.13333333333333333,0.19999999999999998,0.16666666666666666,0.13333333333333333,,,,,,,,,0.3333333333333333,0.4444444444444444,15.0,8.0,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.10000000000000002,0.14593670606222497,0.1736952588288795,0.3333333333333333,0.4444444444444444,,,,
32,I1,2005-08-28,,Ascoli,Milan,0.1,0.1,0.0,0.0,D,D,0.4,0.8,0.15,0.45,0.6,0.23500000000000001,0.06999999999999999,0.3333333333333333,0.3333333333333333,3,3,0.09999999999999999,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.39999999999999997,0.6,0.6166666666666667,0.3666666666666667,0.19999999999999998,0.2833333333333334,0.25,0.15,0.3333333333333333,0.6666666666666666,15.0,5.0,0.06666666666666667,0.10000000000000002,0.20000000000000004,0.03333333333333333,0.1215015981203292,0.14527681706658685,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,0.4054054054054054
33,I1,2005-08-28,,Inter,Treviso,0.3,0.0,0.1,0.0,H,H,0.8,0.35,0.45,0.15,0.06,0.325,0.9,1.0,0.0,3,3,0.03333333333333333,0.06666666666666667,0.0,0.0,0.5833333333333334,0.4000000000000001,,,0.2833333333333333,0.18333333333333335,,,0.4444444444444444,0.3333333333333333,11.0,13.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0.14266989290828233,0.26375528532194426,0.4444444444444444,0.3333333333333333,0.11764705882352941,0.48571428571428565,,
34,I1,2005-08-28,,Juventus,Chievo,0.1,0.0,0.1,0.0,H,H,0.8,0.1,0.35,0.0,0.0625,0.298,0.8,1.0,0.0,3,3,0.2333333333333333,0.03333333333333333,0.10000000000000002,0.03333333333333333,,,0.4833333333333334,0.5499999999999999,,,0.16666666666666666,0.19999999999999998,1.0,0.7777777777777777,2.0,5.0,0.10000000000000002,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.12176913347815477,0.3082600494555316,1.0,0.7777777777777777,,,0.6000000000000002,0.34482758620689646
35,I1,2005-08-28,,Lazio,Messina,0.1,0.0,0.1,0.0,H,H,0.35,0.8,0.2,0.35,0.1,0.16,0.25,1.0,0.0,3,3,0.09999999999999999,0.16666666666666666,0.03333333333333333,0.20000000000000004,,,,,,,,,0.4444444444444444,0.1111111111111111,12.0,20.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.16295741558815494,0.2089443006973821,0.4444444444444444,0.1111111111111111,,,,
36,I1,2005-08-28,,Parma,Palermo,0.1,0.1,0.0,0.1,D,A,0.4,0.7,0.15,0.45,0.135,0.15,0.155,0.3333333333333333,0.3333333333333333,3,3,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.20000000000000004,,,,,,,,,0.3333333333333333,0.2222222222222222,14.0,18.0,0.10000000000000002,0.13333333333333333,0.10000000000000002,0.10000000000000002,0.15026422396797073,0.29708205614858557,0.3333333333333333,0.2222222222222222,,,,
37,I1,2005-08-28,,Reggina,Roma,0.0,0.3,0.0,0.1,A,A,0.25,0.65,0.15,0.45,0.22000000000000003,0.1625,0.1025,0.0,1.0,3,3,0.10000000000000002,0.20000000000000004,0.20000000000000004,0.16666666666666666,,,,,,,,,0.3333333333333333,0.4444444444444444,18.0,9.0,0.06666666666666667,0.13333333333333333,0.10000000000000002,0.03333333333333333,0.09285074577941026,0.2759280751833446,0.3333333333333333,0.4444444444444444,,,,
38,I1,2005-08-28,,Siena,Cagliari,0.2,0.1,0.1,0.1,H,D,0.5,0.45,0.3,0.3,0.11499999999999999,0.15,0.1925,1.0,0.0,3,3,0.16666666666666666,0.19999999999999998,0.06666666666666667,0.16666666666666666,,,,,,,,,0.3333333333333333,0.2222222222222222,14.0,19.0,0.03333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.26264476727633895,0.23730757971771047,0.3333333333333333,0.2222222222222222,,,,
39,I1,2005-08-28,,Udinese,Empoli,0.1,0.0,0.1,0.0,H,H,0.6,0.4,0.4,0.2,0.08249999999999999,0.185,0.375,1.0,0.0,3,3,0.13333333333333333,0.2333333333333333,0.16666666666666666,0.13333333333333333,,,,,,,,,0.3333333333333333,0.4444444444444444,16.0,11.0,0.0,0.13333333333333333,0.10000000000000002,0.03333333333333333,0.1684943953947221,0.1798101300076582,0.3333333333333333,0.4444444444444444,,,,
40,I1,2005-09-17,,Inter,Lecce,0.3,0.0,0.2,0.0,H,H,0.6,0.35,0.4,0.25,0.0625,0.32,0.8,1.0,0.0,4,4,0.1,0.05,0.15,0.15000000000000002,0.6375,0.38750000000000007,,,0.325,0.17500000000000002,,,0.5833333333333333,0.3333333333333333,6.0,13.0,0.05,0.05,0.07500000000000001,0.1,0.11154682272988829,0.16335802462577487,0.7777777777777777,0.1111111111111111,0.3076923076923077,0.5098039215686275,,
41,I1,2005-09-17,,Parma,Empoli,0.1,0.0,0.1,0.0,H,H,1.0,0.8,0.6,0.15,0.0925,0.16999999999999998,0.28500000000000003,1.0,0.0,4,4,0.125,0.15,0.125,0.125,,,,,,,,,0.3333333333333333,0.3333333333333333,13.0,12.0,0.07500000000000001,0.125,0.07500000000000001,0.05,0.16983791200309506,0.15535860107800029,0.4444444444444444,0.3333333333333333,,,,
42,I1,2005-09-18,,Cagliari,Messina,0.1,0.1,0.1,0.1,D,D,0.8,0.4,0.4,0.25,0.1125,0.15,0.21000000000000002,0.3333333333333333,0.3333333333333333,4,4,0.07500000000000001,0.175,0.025,0.17500000000000002,,,,,,,,,0.16666666666666666,0.08333333333333333,19.0,20.0,0.025,0.125,0.0,0.07500000000000001,0.21948458587777792,0.18901291302303658,0.2222222222222222,0.1111111111111111,,,,
43,I1,2005-09-18,,Fiorentina,Udinese,0.4,0.2,0.2,0.1,H,H,0.55,0.7,0.3,0.45,0.11499999999999999,0.16,0.1975,1.0,0.0,4,4,0.2,0.125,0.125,0.175,,,,,,,,,0.75,0.5,4.0,12.0,0.15000000000000002,0.025,0.025,0.1,0.1442772977179779,0.14687180011829823,0.6666666666666666,0.3333333333333333,,,,
44,I1,2005-09-18,,Juventus,Ascoli,0.2,0.1,0.2,0.1,H,H,0.85,0.6,0.35,0.25,0.058499999999999996,0.375,1.0,1.0,0.0,4,4,0.19999999999999998,0.025,0.1,0.125,,,0.4,0.65,,,0.1875,0.325,1.0,0.3333333333333333,1.0,14.0,0.1,0.025,0.05,0.07500000000000001,0.09733169469613466,0.18586669557622504,1.0,0.1111111111111111,,,0.5333333333333333,0.46875
45,I1,2005-09-18,,Lazio,Treviso,0.3,0.1,0.2,0.1,H,H,0.65,0.25,0.3,0.05,0.08249999999999999,0.18,0.375,1.0,0.0,4,4,0.1,0.125,0.0,0.075,,,,,,,,,0.5833333333333333,0.25,9.0,17.0,0.05,0.0,0.0,0.025,0.15452274919111622,0.20236086704013476,0.7777777777777777,0.2222222222222222,,,,
46,I1,2005-09-18,,Livorno,Roma,0.0,0.0,0.0,0.0,D,D,0.3,0.4,0.2,0.25,0.194,0.16,0.11750000000000001,0.3333333333333333,0.3333333333333333,4,4,0.15000000000000002,0.175,0.22500000000000003,0.125,,,,,,,,,0.5,0.5833333333333333,11.0,7.0,0.05,0.07500000000000001,0.1,0.025,0.14253911005078396,0.24100199736464395,0.6666666666666666,0.7777777777777777,,,,
47,I1,2005-09-18,,Reggina,Chievo,0.1,0.3,0.1,0.1,A,D,0.8,0.4,0.4,0.25,0.12250000000000001,0.15,0.1775,0.0,1.0,4,4,0.07500000000000001,0.22500000000000003,0.07500000000000001,0.05,,,0.38750000000000007,0.6125,,,0.125,0.2375,0.25,0.5833333333333333,19.0,9.0,0.05,0.125,0.05,0.05,0.10369400031169318,0.23719988167916725,0.3333333333333333,0.6666666666666666,,,0.6000000000000001,0.32258064516129026
48,I1,2005-09-18,,Sampdoria,Milan,0.2,0.1,0.1,0.1,H,D,0.35,0.6,0.2,0.25,0.23500000000000001,0.16499999999999998,0.0975,1.0,0.0,4,4,0.225,0.07500000000000001,0.225,0.125,,,0.6625000000000001,0.375,,,0.3,0.15,0.75,0.5833333333333334,6.0,8.0,0.05,0.05,0.15000000000000002,0.025,0.19375454016053403,0.2036981097859183,0.6666666666666666,0.4444444444444444,,,0.75,0.4528301886792452
49,I1,2005-09-18,,Siena,Palermo,0.1,0.2,0.1,0.1,A,D,0.5,0.7,0.15,0.5,0.145,0.15,0.1375,0.0,1.0,4,4,0.175,0.175,0.125,0.17500000000000002,,,,,,,,,0.5,0.25,11.0,16.0,0.05,0.07500000000000001,0.1,0.07500000000000001,0.2384874765467493,0.2799512861385562,0.3333333333333333,0.2222222222222222,,,,
