,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
0,N1,2017-01-10,,AZ Alkmaar,Feyenoord,0.0,0.4,0.0,0.3,A,A,0.45,0.5,0.1,0.2,0.16,0.1825,0.11950000000000001,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N1,2017-01-10,,Heerenveen,Ajax,0.0,0.4,0.0,0.2,A,A,0.7,0.95,0.2,0.4,0.24,0.20249999999999999,0.09,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,N1,2017-01-10,,Sparta Rotterdam,Roda,0.1,0.2,0.0,0.2,A,A,1.0,0.25,0.4,0.1,0.0915,0.1865,0.25,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,N1,2017-01-10,,Vitesse,Utrecht,0.1,0.1,0.0,0.0,D,D,0.7,0.35,0.2,0.05,0.11699999999999999,0.18,0.175,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,N1,2017-01-12,,Zwolle,Utrecht,0.1,0.1,0.0,0.1,D,A,0.7,0.65,0.2,0.35,0.125,0.1815,0.14850000000000002,0.3333333333333333,0.3333333333333333,0,1,,,0.1,0.1,,,0.35,0.7,,,0.05,0.2,,0.3333333333333333,,4.0,,,0.0,0.0,,0.2619553263631408,,,,,1.0,0.14285714285714288
5,N1,2017-02-12,,Den Haag,Groningen,0.0,0.3,0.0,0.1,A,A,0.7,0.55,0.25,0.25,0.1125,0.1875,0.16399999999999998,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,N1,2017-02-12,,Feyenoord,Vitesse,0.1,0.0,0.1,0.0,H,H,0.9,0.65,0.4,0.1,0.074,0.246,0.3635,1.0,0.0,1,1,0.4,0.0,0.1,0.1,0.5,0.45,0.7,0.35,0.2,0.1,0.2,0.05,1.0,0.3333333333333333,2.0,6.0,0.3,0.0,0.0,0.0,0.17032137216112075,0.2619553263631408,,,1.0,0.4,0.5,0.28571428571428575
7,N1,2017-02-12,,Twente,Ajax,0.3,0.3,0.0,0.2,D,A,0.95,1.0,0.5,0.6,0.55,0.296,0.06999999999999999,0.3333333333333333,0.3333333333333333,0,1,,,0.4,0.0,,,0.95,0.7,,,0.4,0.2,,1.0,,2.0,,,0.2,0.0,,0.1006333193618859,,,,,1.0,0.4210526315789474
8,N1,2017-02-12,,Willem II,Heracles,0.3,0.1,0.3,0.0,H,H,1.0,0.55,0.25,0.15,0.1115,0.1875,0.1655,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,N1,2017-03-11,,Sparta Rotterdam,Heerenveen,0.0,0.0,0.0,0.0,D,D,0.4,0.4,0.05,0.1,0.16,0.1825,0.11850000000000001,0.3333333333333333,0.3333333333333333,1,1,0.1,0.2,0.0,0.4,1.0,0.25,0.7,0.95,0.4,0.1,0.2,0.4,0.0,0.0,14.0,18.0,0.0,0.2,0.0,0.2,0.33682708449211257,0.1006333193618859,,,0.25,0.4,0.0,0.28571428571428575
10,N1,2017-03-12,,NAC Breda,Excelsior,0.3,0.1,0.1,0.0,H,H,1.0,0.6,0.4,0.2,0.1275,0.18,0.14950000000000002,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,N1,2017-03-12,,PSV Eindhoven,Sparta Rotterdam,0.1,0.0,0.0,0.0,H,D,1.0,0.3,0.3,0.2,0.057999999999999996,0.495,1.0,1.0,0.0,0,2,,,0.05,0.1,,,0.7,0.325,,,0.225,0.1,,0.16666666666666666,,10.0,,,0.0,0.1,,0.30221457199970836,,,,,0.22222222222222224,0.32142857142857145
12,N1,2017-03-12,,Roda,Heerenveen,0.2,0.1,0.0,0.0,H,D,0.3,0.9,0.15,0.3,0.21000000000000002,0.199,0.0955,1.0,0.0,1,2,0.2,0.1,0.0,0.2,0.25,1.0,0.55,0.675,0.1,0.4,0.15000000000000002,0.225,1.0,0.16666666666666666,6.0,13.0,0.2,0.0,0.0,0.1,0.33682708449211257,0.18411768943459503,,,1.0,0.4,0.0,0.27272727272727276
13,N1,2017-03-12,,VVV Venlo,AZ Alkmaar,0.0,0.2,0.0,0.0,A,D,0.7,0.9,0.25,0.15,0.225,0.21000000000000002,0.09,0.0,1.0,0,1,,,0.0,0.4,,,0.45,0.5,,,0.1,0.2,,0.0,,18.0,,,0.0,0.3,,0.17032137216112075,,,,,0.0,0.22222222222222224
14,N1,2017-04-11,,AZ Alkmaar,Willem II,0.3,0.2,0.1,0.1,H,D,0.95,0.35,0.45,0.1,0.0705,0.266,0.40149999999999997,1.0,0.0,2,1,0.1,0.2,0.3,0.1,0.675,0.6,1.0,0.55,0.125,0.225,0.25,0.15,0.5,1.0,8.0,6.0,0.0,0.15,0.3,0.0,0.13576117318898398,0.15553779547705973,,,0.8,0.18518518518518517,1.0,0.25
15,N1,2017-04-11,,Excelsior,Roda,0.1,0.0,0.1,0.0,H,H,0.75,0.35,0.2,0.15,0.09,0.2,0.252,1.0,0.0,1,2,0.1,0.3,0.2,0.1,0.6,1.0,0.275,0.95,0.2,0.4,0.125,0.35,0.0,1.0,15.0,2.0,0.0,0.1,0.1,0.0,0.18616311514012182,0.3213708552546952,,,0.5,0.33333333333333337,1.0,0.45454545454545453
