,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
0,P1,2017-01-10,,Belenenses,Guimaraes,0.1,0.0,0.1,0.0,H,H,0.2,0.4,0.1,0.1,0.125,0.1655,0.155,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P1,2017-01-10,,Maritimo,Benfica,0.1,0.1,0.0,0.1,D,A,0.5,0.55,0.3,0.25,0.4,0.21949999999999997,0.0755,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P1,2017-01-10,,Sp Braga,Estoril,0.6,0.0,0.2,0.0,H,H,0.6,0.5,0.45,0.15,0.08199999999999999,0.2,0.327,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P1,2017-01-10,,Sp Lisbon,Porto,0.0,0.0,0.0,0.0,D,D,0.15,0.45,0.05,0.3,0.132,0.16999999999999998,0.15,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P1,2017-01-12,,Porto,Benfica,0.0,0.0,0.0,0.0,D,D,0.45,0.15,0.25,0.05,0.0905,0.185,0.26,0.3333333333333333,0.3333333333333333,1,1,0.0,0.0,0.1,0.1,0.45,0.15,0.55,0.5,0.3,0.05,0.25,0.3,0.3333333333333333,0.3333333333333333,5.0,3.0,0.0,0.0,0.1,0.0,0.2509537548071678,0.35016995701864423,,,0.0,0.6666666666666666,0.4,0.45454545454545453
5,P1,2017-01-12,,Sp Lisbon,Belenenses,0.1,0.0,0.1,0.0,H,H,0.4,0.4,0.2,0.15,0.061,0.378,0.9525,1.0,0.0,1,1,0.0,0.0,0.1,0.0,0.15,0.45,0.2,0.4,0.05,0.3,0.1,0.1,0.3333333333333333,1.0,6.0,2.0,0.0,0.0,0.1,0.0,0.2509537548071678,0.18511054240075828,,,0.0,0.33333333333333337,1.0,0.5
6,P1,2017-02-12,,Chaves,Boavista,0.0,0.0,0.0,0.0,D,D,0.45,0.35,0.15,0.25,0.1125,0.1625,0.2045,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P1,2017-02-12,,Moreirense,Maritimo,0.1,0.1,0.1,0.1,D,D,0.55,0.1,0.25,0.1,0.13999999999999999,0.155,0.158,0.3333333333333333,0.3333333333333333,0,1,,,0.1,0.1,,,0.5,0.55,,,0.3,0.25,,0.3333333333333333,,6.0,,,0.0,0.1,,0.35016995701864423,,,,,0.33333333333333337,0.6
8,P1,2017-02-12,,Tondela,Rio Ave,0.1,0.3,0.0,0.1,A,A,0.2,0.35,0.1,0.15,0.155,0.1645,0.13,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P1,2017-03-11,,Setubal,Aves,0.0,0.1,0.0,0.0,A,D,0.35,0.3,0.2,0.25,0.11399999999999999,0.1635,0.19,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,P1,2017-03-12,,Feirense,Aves,0.0,0.1,0.0,0.0,A,D,0.3,0.75,0.15,0.4,0.1325,0.16,0.153,0.0,1.0,0,1,,,0.1,0.0,,,0.3,0.35,,,0.25,0.2,,1.0,,4.0,,,0.0,0.0,,0.2762743898193525,,,,,0.4,0.8333333333333334
11,P1,2017-03-12,,Setubal,Guimaraes,0.1,0.2,0.0,0.1,A,A,0.65,0.3,0.2,0.1,0.1625,0.16,0.125,0.0,1.0,1,1,0.0,0.1,0.0,0.1,0.35,0.3,0.4,0.2,0.2,0.25,0.1,0.1,0.0,0.0,16.0,15.0,0.0,0.0,0.0,0.1,0.2762743898193525,0.18511054240075828,,,0.0,0.5714285714285715,0.0,0.25
12,P1,2017-03-12,,Sp Braga,Pacos Ferreira,0.3,0.0,0.0,0.0,H,D,0.55,0.1,0.3,0.05,0.074,0.23349999999999999,0.404,1.0,0.0,1,0,0.6,0.0,,,0.6,0.5,,,0.45,0.15,,,1.0,,3.0,,0.2,0.0,,,0.0793901010679329,,,,1.0,0.75,,
13,P1,2017-04-11,,Estoril,Rio Ave,0.0,0.2,0.0,0.1,A,A,0.4,0.6,0.15,0.4,0.18,0.1655,0.12,0.0,1.0,1,1,0.0,0.6,0.3,0.1,0.5,0.6,0.35,0.2,0.15,0.45,0.15,0.1,0.0,1.0,18.0,4.0,0.0,0.2,0.1,0.0,0.0793901010679329,0.19171431048692678,,,0.0,0.3,1.0,0.4285714285714286
14,P1,2017-04-11,,Moreirense,Portimonense,0.1,0.1,0.1,0.1,D,D,0.35,0.6,0.25,0.2,0.125,0.1765,0.155,0.3333333333333333,0.3333333333333333,1,0,0.1,0.1,,,0.55,0.1,,,0.25,0.1,,,0.3333333333333333,,10.0,,0.1,0.1,,,0.22886407012576201,,,,0.4,0.45454545454545453,,
15,P1,2017-04-11,,Porto,Belenenses,0.2,0.0,0.1,0.0,H,H,0.85,0.3,0.45,0.15,0.057499999999999996,0.47750000000000004,1.0,1.0,0.0,2,2,0.0,0.0,0.05,0.05,0.45,0.15,0.30000000000000004,0.4,0.275,0.05,0.125,0.15000000000000002,0.3333333333333333,0.5,10.0,6.0,0.0,0.0,0.05,0.05,0.27126499652557906,0.10135033986203765,,,0.0,0.6111111111111112,0.4,0.41666666666666663
16,P1,2017-04-11,,Tondela,Boavista,0.3,0.2,0.0,0.0,H,D,0.75,0.55,0.3,0.2,0.12450000000000001,0.155,0.16999999999999998,1.0,0.0,1,1,0.1,0.3,0.0,0.0,0.2,0.35,0.35,0.45,0.1,0.15,0.25,0.15,0.0,0.3333333333333333,15.0,12.0,0.0,0.1,0.0,0.0,0.19171431048692678,0.2455334857426389,,,1.0,0.5,0.0,0.7142857142857143
17,P1,2017-04-12,,Estoril,Portimonense,0.0,0.0,0.0,0.0,D,D,0.7,0.35,0.3,0.1,0.13,0.1675,0.15,0.3333333333333333,0.3333333333333333,2,1,0.0,0.4,0.1,0.1,0.45,0.6,0.6,0.35,0.15,0.42500000000000004,0.2,0.25,0.0,0.3333333333333333,18.0,12.0,0.0,0.15000000000000002,0.1,0.1,0.12448032156305623,0.2592456866263938,,,0.0,0.3333333333333333,0.5,0.33333333333333337
18,P1,2017-05-11,,Chaves,Pacos Ferreira,0.4,0.2,0.1,0.1,H,D,0.6,0.6,0.35,0.3,0.1075,0.1665,0.2,1.0,0.0,1,1,0.0,0.0,0.0,0.3,0.45,0.35,0.1,0.55,0.15,0.25,0.05,0.3,0.3333333333333333,0.0,13.0,18.0,0.0,0.0,0.0,0.0,0.2455334857426389,0.0554520776720172,,,0.0,0.3333333333333333,0.0,0.5
19,P1,2017-05-11,,Feirense,Maritimo,0.0,0.1,0.0,0.1,A,A,0.4,0.3,0.05,0.2,0.126,0.16,0.1625,0.0,1.0,1,2,0.0,0.1,0.1,0.1,0.3,0.75,0.3,0.55,0.15,0.4,0.2,0.25,0.0,0.3333333333333333,16.0,10.0,0.0,0.0,0.05,0.1,0.23108581346970447,0.2895170135722031,,,0.0,0.5,0.5,0.6666666666666667
20,P1,2017-05-11,,Guimaraes,Benfica,0.1,0.3,0.0,0.1,A,A,0.3,0.45,0.05,0.25,0.325,0.21200000000000002,0.081,0.0,1.0,2,2,0.1,0.1,0.05,0.05,0.35,0.42500000000000004,0.35000000000000003,0.475,0.1,0.15000000000000002,0.15,0.275,0.5,0.3333333333333333,8.0,12.0,0.05,0.05,0.05,0.0,0.18461040556921543,0.3208730976313173,,,1.0,0.28571428571428575,0.33333333333333337,0.4285714285714285
21,P1,2017-05-11,,Sp Lisbon,Sp Braga,0.2,0.2,0.0,0.0,D,D,0.55,0.4,0.3,0.2,0.075,0.229,0.375,0.3333333333333333,0.3333333333333333,2,2,0.05,0.0,0.44999999999999996,0.0,0.275,0.42500000000000004,0.575,0.3,0.125,0.22499999999999998,0.375,0.1,0.6666666666666666,1.0,8.0,1.0,0.05,0.0,0.1,0.0,0.13427194606524243,0.06742108936997505,,,0.4,0.45454545454545453,1.0,0.6521739130434783
22,P1,2017-06-08,,Aves,Sp Lisbon,0.0,0.2,0.0,0.1,A,A,0.6,0.6,0.1,0.45,0.46849999999999997,0.23500000000000001,0.0725,0.0,1.0,2,3,0.1,0.0,0.10000000000000002,0.06666666666666667,0.525,0.32499999999999996,0.3666666666666667,0.4166666666666667,0.325,0.175,0.18333333333333335,0.21666666666666665,1.0,0.5555555555555555,3.0,7.0,0.0,0.0,0.03333333333333333,0.0,0.2536801016445285,0.20876058871917394,,,0.3076923076923077,0.6190476190476191,0.5454545454545455,0.5
23,P1,2017-06-08,,Setubal,Moreirense,0.1,0.1,0.1,0.0,D,H,0.3,0.6,0.1,0.2,0.125,0.156,0.16599999999999998,0.3333333333333333,0.3333333333333333,2,2,0.05,0.15000000000000002,0.1,0.1,0.5,0.3,0.45,0.35,0.2,0.175,0.25,0.15000000000000002,0.0,0.3333333333333333,17.0,12.0,0.0,0.05,0.1,0.1,0.23019232927851252,0.24405487837607792,,,0.25,0.4,0.4,0.5555555555555556
24,P1,2017-07-08,,Feirense,Tondela,0.1,0.1,0.0,0.1,D,A,0.6,0.65,0.25,0.3,0.11599999999999999,0.1645,0.19,0.3333333333333333,0.3333333333333333,2,2,0.0,0.1,0.2,0.25,0.35,0.525,0.475,0.45,0.1,0.30000000000000004,0.2,0.175,0.0,0.5,17.0,10.0,0.0,0.05,0.0,0.05,0.23794567113385823,0.18729687736083978,,,0.0,0.28571428571428575,1.0,0.4210526315789474
25,P1,2017-07-08,,Portimonense,Boavista,0.2,0.1,0.0,0.1,H,A,0.6,0.25,0.2,0.1,0.125,0.1565,0.16399999999999998,1.0,0.0,2,2,0.05,0.05,0.1,0.15,0.475,0.5249999999999999,0.45,0.6,0.15000000000000002,0.275,0.225,0.22499999999999998,0.3333333333333333,0.16666666666666666,13.0,14.0,0.05,0.05,0.0,0.0,0.2548114908299285,0.21420646498869583,,,0.3333333333333333,0.31578947368421056,0.4444444444444445,0.5
26,P1,2017-07-08,,Rio Ave,Belenenses,0.1,0.0,0.1,0.0,H,H,0.55,0.5,0.25,0.15,0.1,0.17250000000000001,0.2435,1.0,0.0,2,3,0.25,0.05,0.03333333333333333,0.10000000000000002,0.475,0.30000000000000004,0.30000000000000004,0.5499999999999999,0.275,0.125,0.13333333333333333,0.25,1.0,0.3333333333333333,3.0,13.0,0.1,0.0,0.03333333333333333,0.06666666666666667,0.18064242627255317,0.07095332037801012,,,0.9090909090909091,0.5789473684210527,0.25,0.44444444444444436
27,P1,2017-08-08,,Maritimo,Pacos Ferreira,0.1,0.0,0.0,0.0,H,D,0.35,0.2,0.15,0.05,0.1025,0.16999999999999998,0.2225,1.0,0.0,3,2,0.10000000000000002,0.06666666666666667,0.1,0.35,0.3,0.5,0.35,0.575,0.20000000000000004,0.18333333333333335,0.175,0.32499999999999996,0.5555555555555555,0.0,7.0,18.0,0.06666666666666667,0.06666666666666667,0.05,0.05,0.2746131853141394,0.10085618304877886,,,0.5,0.6666666666666669,0.5714285714285715,0.5
28,P1,2017-08-09,,Benfica,Portimonense,0.2,0.1,0.0,0.0,H,D,0.75,0.25,0.4,0.1,0.06,0.449,1.0,1.0,0.0,3,3,0.13333333333333333,0.06666666666666667,0.10000000000000002,0.06666666666666667,0.38333333333333336,0.4166666666666667,0.5166666666666666,0.4333333333333333,0.18333333333333335,0.20000000000000004,0.16666666666666666,0.21666666666666667,0.5555555555555555,0.5555555555555555,6.0,8.0,0.06666666666666667,0.0,0.03333333333333333,0.06666666666666667,0.23900039742190685,0.23154363048504398,0.5555555555555555,0.5555555555555555,0.7272727272727272,0.4782608695652174,0.6000000000000002,0.32258064516129037
29,P1,2017-08-09,,Feirense,Sp Lisbon,0.2,0.3,0.0,0.0,A,D,0.5,0.65,0.35,0.5,0.488,0.2535,0.071,0.0,1.0,3,4,0.03333333333333333,0.10000000000000002,0.125,0.05,0.4333333333333333,0.5666666666666668,0.42500000000000004,0.4625,0.15,0.30000000000000004,0.25,0.18749999999999997,0.1111111111111111,0.6666666666666666,16.0,3.0,0.0,0.06666666666666667,0.05,0.0,0.24080005867846588,0.1693182072433629,0.1111111111111111,0.7777777777777777,0.22222222222222224,0.3461538461538462,0.5,0.588235294117647
30,P1,2017-08-12,,Rio Ave,Moreirense,0.2,0.1,0.0,0.0,H,D,0.55,0.2,0.3,0.1,0.0885,0.182,0.2995,1.0,0.0,3,3,0.19999999999999998,0.03333333333333333,0.10000000000000002,0.10000000000000002,0.5,0.3666666666666667,0.5,0.3333333333333333,0.26666666666666666,0.13333333333333333,0.2333333333333333,0.13333333333333333,1.0,0.3333333333333333,2.0,11.0,0.10000000000000002,0.0,0.06666666666666667,0.10000000000000002,0.16222606079601884,0.24186182672218506,1.0,0.3333333333333333,0.75,0.5333333333333333,0.4285714285714287,0.4666666666666666
31,P1,2017-08-13,,Pacos Ferreira,Aves,0.2,0.2,0.0,0.2,D,A,0.8,0.35,0.25,0.15,0.1025,0.1675,0.22000000000000003,0.3333333333333333,0.3333333333333333,3,3,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.3,0.5,0.5499999999999999,0.4166666666666667,0.13333333333333333,0.26666666666666666,0.25,0.26666666666666666,0.0,0.6666666666666666,18.0,6.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.11160942288494591,0.18611708870166224,0.0,0.6666666666666666,0.5,0.4444444444444445,0.26666666666666666,0.4545454545454546
32,P1,2017-08-13,,Sp Braga,Portimonense,0.2,0.1,0.1,0.1,H,D,0.4,0.4,0.2,0.05,0.078,0.217,0.3395,1.0,0.0,3,4,0.36666666666666664,0.06666666666666667,0.1,0.1,0.5166666666666666,0.3833333333333333,0.44999999999999996,0.5125,0.31666666666666665,0.16666666666666666,0.15,0.2625,0.7777777777777778,0.41666666666666663,5.0,8.0,0.06666666666666667,0.0,0.025,0.05,0.16419335092232903,0.17721426535686657,0.7777777777777778,0.4444444444444444,1.0,0.6129032258064516,0.6666666666666667,0.33333333333333337
