,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
0,SC0,2017-02-12,,Celtic,Motherwell,0.5,0.1,0.2,0.0,H,H,0.95,0.3,0.4,0.1,0.0595,0.425,0.95,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SC0,2017-02-12,,Hearts,Hamilton,0.1,0.1,0.0,0.0,D,D,0.35,0.75,0.05,0.35,0.09,0.1975,0.2745,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SC0,2017-02-12,,Partick,Hibernian,0.0,0.1,0.0,0.0,A,D,0.35,0.4,0.2,0.2,0.25,0.1935,0.0885,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SC0,2017-02-12,,Ross County,Dundee,0.0,0.2,0.0,0.1,A,A,0.3,0.6,0.05,0.25,0.11850000000000001,0.18,0.16499999999999998,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SC0,2017-02-12,,St Johnstone,Kilmarnock,0.1,0.2,0.1,0.1,A,D,0.3,0.55,0.1,0.3,0.11750000000000001,0.1675,0.175,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SC0,2017-03-12,,Aberdeen,Rangers,0.1,0.2,0.0,0.1,A,A,0.45,0.25,0.15,0.2,0.14250000000000002,0.185,0.125,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SC0,2017-04-11,,Hamilton,Aberdeen,0.2,0.2,0.1,0.1,D,D,0.45,0.5,0.2,0.15,0.2875,0.21150000000000002,0.08499999999999999,0.3333333333333333,0.3333333333333333,1,1,0.1,0.1,0.1,0.2,0.75,0.35,0.45,0.25,0.35,0.05,0.15,0.2,0.3333333333333333,0.0,6.0,8.0,0.0,0.0,0.0,0.1,0.29986118151241054,0.1853869411824042,,,0.28571428571428575,0.4666666666666666,0.6666666666666667,0.3333333333333333
7,SC0,2017-04-11,,Hibernian,Dundee,0.2,0.1,0.1,0.1,H,D,0.5,0.5,0.25,0.25,0.0725,0.244,0.4,1.0,0.0,1,1,0.1,0.0,0.2,0.0,0.4,0.35,0.6,0.3,0.2,0.2,0.25,0.05,1.0,1.0,5.0,2.0,0.0,0.0,0.1,0.0,0.09867302291767631,0.24698713309019218,,,0.5,0.5,0.8,0.4166666666666667
8,SC0,2017-04-11,,Rangers,Partick,0.3,0.0,0.2,0.0,H,H,0.65,0.3,0.25,0.05,0.06999999999999999,0.28500000000000003,0.5650000000000001,1.0,0.0,1,1,0.2,0.1,0.0,0.1,0.25,0.45,0.35,0.4,0.2,0.15,0.2,0.2,1.0,0.0,5.0,10.0,0.1,0.0,0.0,0.0,0.1853869411824042,0.09867302291767631,,,1.0,0.8,0.0,0.5714285714285715
9,SC0,2017-04-11,,Ross County,Motherwell,0.3,0.2,0.3,0.0,H,H,0.35,0.35,0.2,0.2,0.13,0.1815,0.141,1.0,0.0,1,1,0.0,0.2,0.1,0.5,0.3,0.6,0.3,0.95,0.05,0.25,0.1,0.4,0.0,0.0,10.0,11.0,0.0,0.1,0.0,0.2,0.24698713309019218,0.014034487837827,,,0.0,0.16666666666666669,1.0,0.33333333333333337
10,SC0,2017-04-11,,St Johnstone,Celtic,0.0,0.4,0.0,0.1,A,A,0.3,1.0,0.1,0.75,0.75,0.3285,0.0625,0.0,1.0,1,1,0.1,0.2,0.5,0.1,0.3,0.55,0.95,0.3,0.1,0.3,0.4,0.1,0.0,1.0,10.0,3.0,0.1,0.1,0.2,0.0,0.26012939916841793,0.014034487837827,,,1.0,0.33333333333333337,1.0,0.4210526315789474
11,SC0,2017-05-08,,Celtic,Hearts,0.4,0.1,0.1,0.0,H,H,0.85,0.2,0.35,0.15,0.0625,0.3825,0.786,1.0,0.0,2,1,0.45,0.05,0.1,0.1,0.975,0.3,0.35,0.75,0.575,0.1,0.05,0.35,1.0,0.3333333333333333,1.0,8.0,0.15000000000000002,0.0,0.0,0.0,0.018285813211710807,0.29986118151241054,,,0.782608695652174,0.5897435897435898,1.0,0.14285714285714288
12,SC0,2017-05-08,,Dundee,Ross County,0.1,0.2,0.0,0.1,A,A,0.65,0.7,0.3,0.25,0.134,0.16999999999999998,0.15,0.0,1.0,2,2,0.15000000000000002,0.1,0.15,0.2,0.55,0.4,0.32499999999999996,0.475,0.25,0.15,0.125,0.225,0.5,0.5,4.0,6.0,0.1,0.05,0.15,0.05,0.149148618573556,0.22021636830880237,,,0.6000000000000001,0.45454545454545453,1.0,0.3846153846153847
13,SC0,2017-05-08,,Hibernian,Partick,0.3,0.1,0.2,0.1,H,H,0.6,0.3,0.3,0.15,0.0975,0.18,0.24700000000000003,1.0,0.0,2,2,0.15000000000000002,0.05,0.0,0.2,0.45,0.425,0.32499999999999996,0.525,0.225,0.225,0.125,0.225,1.0,0.0,3.0,10.0,0.05,0.05,0.0,0.1,0.07499156348729806,0.06937698163113389,,,0.6666666666666667,0.5,0.0,0.3846153846153847
14,SC0,2017-05-08,,Kilmarnock,St Johnstone,0.1,0.2,0.0,0.1,A,A,0.6,0.4,0.2,0.1,0.14250000000000002,0.16499999999999998,0.14250000000000002,0.0,1.0,1,2,0.2,0.1,0.05,0.30000000000000004,0.55,0.3,0.3,0.775,0.3,0.1,0.1,0.525,1.0,0.0,5.0,11.0,0.1,0.1,0.05,0.1,0.26012939916841793,0.14133326887700626,,,0.6666666666666667,0.5454545454545454,0.5,0.33333333333333337
15,SC0,2017-05-11,,Hearts,Kilmarnock,0.1,0.2,0.0,0.1,A,A,0.5,0.4,0.1,0.15,0.0915,0.205,0.2375,0.0,1.0,2,2,0.1,0.25,0.15000000000000002,0.15000000000000002,0.275,0.8,0.575,0.35,0.1,0.35,0.25,0.1,0.16666666666666666,0.5,10.0,6.0,0.0,0.05,0.05,0.1,0.1601196054609212,0.23611513086757907,,,1.0,0.36363636363636365,0.6000000000000001,0.4347826086956522
16,SC0,2017-06-08,,Aberdeen,Hamilton,0.2,0.0,0.1,0.0,H,H,0.85,0.25,0.35,0.15,0.068,0.275,0.525,1.0,0.0,2,2,0.15000000000000002,0.2,0.15000000000000002,0.15000000000000002,0.475,0.35,0.6,0.425,0.15,0.2,0.275,0.1,0.16666666666666666,0.3333333333333333,9.0,8.0,0.05,0.1,0.05,0.05,0.2525836970672133,0.30982081723221644,,,1.0,0.3157894736842105,0.5454545454545455,0.45833333333333337
17,SC0,2017-06-08,,Motherwell,Rangers,0.1,0.2,0.1,0.1,A,D,0.5,0.75,0.1,0.15,0.2885,0.20750000000000002,0.08499999999999999,0.0,1.0,2,2,0.15000000000000002,0.4,0.25,0.05,0.32499999999999996,0.6499999999999999,0.45,0.375,0.15000000000000002,0.30000000000000004,0.225,0.1,0.0,1.0,11.0,3.0,0.0,0.25,0.15000000000000002,0.0,0.10374004568261977,0.11273394076349783,,,1.0,0.4615384615384617,1.0,0.5
18,SC0,2017-08-09,,Hamilton,Celtic,0.1,0.4,0.0,0.3,A,A,0.25,0.75,0.2,0.3,0.7150000000000001,0.3275,0.064,0.0,1.0,3,3,0.10000000000000002,0.16666666666666666,0.43333333333333335,0.06666666666666667,0.48333333333333334,0.5666666666666667,0.9333333333333332,0.26666666666666666,0.23333333333333336,0.18333333333333335,0.5,0.11666666666666665,0.2222222222222222,1.0,9.0,1.0,0.03333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.2190135837299775,0.018983218610951147,0.2222222222222222,1.0,0.4285714285714286,0.48275862068965525,0.8666666666666667,0.5357142857142858
19,SC0,2017-08-12,,Dundee,Aberdeen,0.0,0.1,0.0,0.0,A,D,0.65,0.65,0.25,0.2,0.22549999999999998,0.1915,0.095,0.0,1.0,3,3,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.5833333333333334,0.5,0.6,0.31666666666666665,0.26666666666666666,0.18333333333333335,0.21666666666666665,0.18333333333333335,0.3333333333333333,0.4444444444444444,7.0,6.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.1738967303551701,0.1808555036199754,0.3333333333333333,0.4444444444444444,0.5,0.45714285714285713,0.7692307692307693,0.3611111111111111
20,SC0,2017-08-19,,Aberdeen,Dundee,0.2,0.1,0.1,0.0,H,H,0.5,0.45,0.3,0.05,0.0685,0.275,0.6,1.0,0.0,4,4,0.15,0.1,0.1,0.125,0.6124999999999999,0.4,0.6,0.5375,0.21249999999999997,0.2,0.2625,0.1875,0.5833333333333333,0.25,4.0,7.0,0.05,0.05,0.05,0.05,0.16411763901319282,0.15889855906458883,0.7777777777777777,0.0,0.7058823529411765,0.3469387755102041,0.38095238095238093,0.43750000000000006
