,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
0,SP1,2005-08-27,,Alaves,Barcelona,0.0,0.0,0.0,0.0,D,D,0.25,0.85,0.0,0.5,0.41550000000000004,0.21749999999999997,0.0775,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SP1,2005-08-27,,Ath Bilbao,Sociedad,0.3,0.0,0.0,0.0,H,D,0.5,0.45,0.3,0.1,0.1025,0.16499999999999998,0.2125,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SP1,2005-08-27,,Valencia,Betis,0.1,0.0,0.0,0.0,H,D,0.45,0.7,0.1,0.15,0.10500000000000001,0.16999999999999998,0.21000000000000002,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SP1,2005-08-28,,Ath Madrid,Zaragoza,0.0,0.0,0.0,0.0,D,D,0.8,0.45,0.25,0.1,0.0875,0.18,0.3055,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SP1,2005-08-28,,Cadiz,Real Madrid,0.1,0.2,0.0,0.1,A,A,0.75,0.85,0.25,0.3,0.44000000000000006,0.21000000000000002,0.0775,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SP1,2005-08-28,,Celta,Malaga,0.2,0.0,0.1,0.0,H,H,0.45,0.5,0.25,0.2,0.11000000000000001,0.1675,0.195,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SP1,2005-08-28,,Espanol,Getafe,0.0,0.2,0.0,0.0,A,D,0.4,0.8,0.15,0.45,0.08499999999999999,0.185,0.3095,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SP1,2005-08-28,,Mallorca,La Coruna,0.0,0.1,0.0,0.1,A,A,0.5,0.6,0.15,0.15,0.13999999999999999,0.1675,0.13999999999999999,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SP1,2005-08-28,,Osasuna,Villarreal,0.2,0.1,0.1,0.0,H,H,0.4,0.5,0.2,0.15,0.16,0.16999999999999998,0.125,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SP1,2005-08-28,,Sevilla,Santander,0.1,0.0,0.1,0.0,H,H,0.9,0.25,0.25,0.15,0.08349999999999999,0.1895,0.3675,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
