,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
0,T1,2017-01-10,,Alanyaspor,Genclerbirligi,0.4,0.1,0.2,0.0,H,H,0.65,0.3,0.35,0.15,0.1025,0.1875,0.1865,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,T1,2017-01-10,,Besiktas,Trabzonspor,0.2,0.2,0.1,0.1,D,D,0.45,0.5,0.15,0.35,0.0975,0.192,0.2165,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,T1,2017-01-10,,Goztep,Buyuksehyr,0.1,0.2,0.0,0.2,A,A,0.75,0.25,0.35,0.15,0.20249999999999999,0.1875,0.0985,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,T1,2017-01-10,,Yeni Malatyaspor,Konyaspor,0.1,0.1,0.0,0.1,D,A,0.2,0.3,0.05,0.1,0.1275,0.16999999999999998,0.15,0.3333333333333333,0.3333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,T1,2017-02-12,,Akhisar Belediyespor,Yeni Malatyaspor,0.0,0.0,0.0,0.0,D,D,0.1,0.25,0.0,0.15,0.0915,0.1875,0.2515,0.3333333333333333,0.3333333333333333,0,1,,,0.1,0.1,,,0.2,0.3,,,0.05,0.1,,0.3333333333333333,,6.0,,,0.0,0.1,,0.2543893374343201,,,,,1.0,0.25
5,T1,2017-02-12,,Besiktas,Galatasaray,0.3,0.0,0.0,0.0,H,D,0.95,0.3,0.45,0.2,0.10500000000000001,0.1925,0.22149999999999997,1.0,0.0,1,0,0.2,0.2,,,0.45,0.5,,,0.15,0.35,,,0.3333333333333333,,4.0,,0.1,0.1,,,0.28776828257324416,,,,1.0,0.3333333333333333,,
6,T1,2017-02-12,,Karabukspor,Goztep,0.0,0.1,0.0,0.0,A,D,0.65,0.25,0.3,0.1,0.135,0.175,0.14750000000000002,0.0,1.0,0,1,,,0.1,0.2,,,0.75,0.25,,,0.35,0.15,,0.0,,16.0,,,0.0,0.2,,0.12484039675537158,,,,,0.28571428571428575,0.4666666666666666
7,T1,2017-03-11,,Galatasaray,Genclerbirligi,0.5,0.1,0.2,0.0,H,H,0.75,0.4,0.4,0.25,0.06999999999999999,0.29500000000000004,0.536,1.0,0.0,1,1,0.0,0.3,0.1,0.4,0.3,0.95,0.3,0.65,0.2,0.45,0.15,0.35,0.0,0.0,17.0,18.0,0.0,0.0,0.0,0.2,0.1309323644743271,0.1351102317601057,,,0.0,0.6666666666666667,0.6666666666666667,0.5
8,T1,2017-03-12,,Buyuksehyr,Osmanlispor,0.1,0.0,0.0,0.0,H,D,0.7,0.35,0.35,0.1,0.08299999999999999,0.21200000000000002,0.3,1.0,0.0,1,0,0.2,0.1,,,0.25,0.75,,,0.15,0.35,,,1.0,,3.0,,0.2,0.0,,,0.12484039675537158,,,,1.0,0.6,,
9,T1,2017-03-12,,Fenerbahce,Kasimpasa,0.4,0.2,0.1,0.1,H,D,0.7,0.35,0.4,0.15,0.075,0.24,0.3795,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,T1,2017-03-12,,Genclerbirligi,Sivasspor,0.4,0.0,0.1,0.0,H,H,0.55,0.45,0.4,0.2,0.1325,0.17350000000000002,0.14250000000000002,1.0,0.0,2,0,0.1,0.45,,,0.35,0.7,,,0.2,0.375,,,0.0,,18.0,,0.0,0.2,,,0.08739875870324372,,,,0.5,0.5714285714285715,,
11,T1,2017-03-12,,Konyaspor,Bursaspor,0.0,0.3,0.0,0.3,A,A,1.0,0.35,0.55,0.25,0.11000000000000001,0.1775,0.1875,0.0,1.0,1,0,0.1,0.1,,,0.3,0.2,,,0.1,0.05,,,0.3333333333333333,,10.0,,0.1,0.0,,,0.2543893374343201,,,,1.0,0.33333333333333337,,
12,T1,2017-04-11,,Antalyaspor,Karabukspor,0.2,0.1,0.1,0.0,H,H,0.6,0.5,0.5,0.15,0.08499999999999999,0.20400000000000001,0.275,1.0,0.0,0,1,,,0.0,0.1,,,0.65,0.25,,,0.3,0.1,,0.0,,15.0,,,0.0,0.0,,0.2185834237921482,,,,,0.0,0.4615384615384615
13,T1,2017-04-11,,Kasimpasa,Bursaspor,0.2,0.2,0.2,0.0,D,H,0.65,0.65,0.45,0.25,0.125,0.1875,0.15,0.3333333333333333,0.3333333333333333,1,1,0.2,0.4,0.3,0.0,0.35,0.7,0.35,1.0,0.15,0.4,0.25,0.55,0.0,1.0,16.0,4.0,0.1,0.1,0.3,0.0,0.057290852979008176,0.2745795611583424,,,1.0,0.4285714285714286,1.0,0.7142857142857143
14,T1,2017-04-11,,Kayserispor,Trabzonspor,0.0,0.0,0.0,0.0,D,D,0.55,0.15,0.2,0.0,0.13999999999999999,0.1805,0.13,0.3333333333333333,0.3333333333333333,0,1,,,0.2,0.2,,,0.5,0.45,,,0.35,0.15,,0.3333333333333333,,11.0,,,0.1,0.1,,0.28776828257324416,,,,,0.5714285714285715,0.7
15,T1,2017-04-11,,Osmanlispor,Fenerbahce,0.1,0.1,0.0,0.1,D,A,0.6,0.25,0.25,0.2,0.1915,0.1875,0.1055,0.3333333333333333,0.3333333333333333,1,1,0.0,0.1,0.4,0.2,0.35,0.7,0.7,0.35,0.1,0.35,0.4,0.15,0.0,1.0,16.0,5.0,0.0,0.0,0.1,0.1,0.08049355026441869,0.057290852979008176,,,0.0,0.28571428571428575,1.0,0.5714285714285715
16,T1,2017-04-12,,Alanyaspor,Kayserispor,0.1,0.2,0.0,0.1,A,A,0.3,0.4,0.25,0.25,0.1275,0.182,0.14250000000000002,0.0,1.0,1,1,0.4,0.1,0.0,0.0,0.65,0.3,0.55,0.15,0.35,0.15,0.2,0.0,1.0,0.3333333333333333,5.0,13.0,0.2,0.0,0.0,0.0,0.1351102317601057,0.266065665979855,,,1.0,0.5384615384615384,0.0,0.36363636363636365
17,T1,2017-04-12,,Trabzonspor,Antalyaspor,0.3,0.0,0.1,0.0,H,H,0.3,0.45,0.25,0.15,0.09,0.198,0.24100000000000002,1.0,0.0,2,1,0.1,0.1,0.2,0.1,0.325,0.5,0.6,0.5,0.175,0.175,0.5,0.15,0.3333333333333333,1.0,11.0,7.0,0.05,0.05,0.1,0.0,0.2769169742765496,0.08756035769247468,,,0.5714285714285715,0.5384615384615384,0.4,0.8333333333333334
18,T1,2017-05-11,,Akhisar Belediyespor,Alanyaspor,0.0,0.4,0.0,0.2,A,A,0.25,0.7,0.2,0.35,0.0975,0.211,0.21000000000000002,0.0,1.0,1,2,0.0,0.0,0.25,0.15000000000000002,0.1,0.25,0.475,0.35,0.0,0.15,0.3,0.2,0.3333333333333333,0.5,13.0,7.0,0.0,0.0,0.1,0.05,0.2919691919109603,0.17599201590693467,,,,0.0,0.8333333333333334,0.631578947368421
19,T1,2017-05-11,,Goztep,Besiktas,0.1,0.3,0.0,0.1,A,A,0.4,0.75,0.35,0.3,0.2375,0.22200000000000003,0.0875,0.0,1.0,2,2,0.1,0.1,0.25,0.1,0.5,0.45,0.7,0.4,0.22499999999999998,0.22499999999999998,0.3,0.275,0.5,0.6666666666666666,9.0,4.0,0.0,0.1,0.05,0.05,0.1717119102737599,0.20935032352378563,,,0.44444444444444453,0.44999999999999996,0.8333333333333334,0.4285714285714286
20,T1,2017-05-11,,Sivasspor,Konyaspor,0.2,0.1,0.1,0.1,H,D,0.65,0.45,0.55,0.25,0.11699999999999999,0.16899999999999998,0.16999999999999998,1.0,0.0,1,2,0.0,0.4,0.05,0.2,0.45,0.55,0.65,0.275,0.2,0.4,0.325,0.15,0.0,0.16666666666666666,18.0,15.0,0.0,0.1,0.05,0.15,0.1979491747180269,0.26448444929633125,,,0.0,0.4444444444444445,0.15384615384615385,0.5
21,T1,2017-05-11,,Yeni Malatyaspor,Buyuksehyr,0.0,0.2,0.0,0.1,A,A,0.35,0.5,0.1,0.2,0.185,0.1775,0.10900000000000001,0.0,1.0,2,2,0.05,0.05,0.15000000000000002,0.05,0.225,0.2,0.475,0.55,0.1,0.05,0.25,0.22499999999999998,0.3333333333333333,1.0,13.0,3.0,0.0,0.05,0.1,0.0,0.2731792646726402,0.10266697350989513,,,0.5,0.4444444444444445,0.6000000000000001,0.5263157894736842
22,T1,2017-08-12,,Bursaspor,Fenerbahce,0.0,0.1,0.0,0.0,A,D,0.25,0.4,0.1,0.2,0.1875,0.19,0.10900000000000001,0.0,1.0,2,2,0.25,0.1,0.25,0.15000000000000002,0.5,0.825,0.475,0.475,0.25,0.5,0.30000000000000004,0.2,0.6666666666666666,0.6666666666666666,5.0,6.0,0.15,0.1,0.1,0.05,0.272104595393986,0.16707247969573147,,,1.0,0.5,0.8333333333333333,0.6315789473684211
23,T1,2017-08-13,,Besiktas,Antalyaspor,0.2,0.0,0.1,0.0,H,H,0.45,0.3,0.25,0.1,0.0735,0.25,0.4,1.0,0.0,3,2,0.26666666666666666,0.10000000000000002,0.1,0.2,0.7166666666666667,0.4000000000000001,0.525,0.4,0.3,0.3,0.325,0.2,0.7777777777777777,0.5,2.0,10.0,0.06666666666666667,0.03333333333333333,0.05,0.05,0.17053590469423463,0.09450404607810219,,,0.888888888888889,0.41860465116279066,0.3076923076923077,0.6190476190476191
24,T1,2017-08-13,,Trabzonspor,Konyaspor,0.2,0.1,0.1,0.1,H,D,0.45,0.55,0.3,0.2,0.0865,0.19,0.29100000000000004,1.0,0.0,3,3,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.20000000000000004,0.31666666666666665,0.48333333333333334,0.5833333333333334,0.4000000000000001,0.19999999999999998,0.16666666666666666,0.3,0.2833333333333334,0.5555555555555555,0.1111111111111111,5.0,17.0,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.13333333333333333,0.2184272276722763,0.23209681870073204,0.5555555555555555,0.1111111111111111,0.8333333333333334,0.631578947368421,0.22222222222222224,0.5142857142857142
25,T1,2017-08-13,,Yeni Malatyaspor,Osmanlispor,0.3,0.1,0.1,0.0,H,H,0.5,0.45,0.3,0.25,0.15,0.17250000000000001,0.1275,1.0,0.0,3,2,0.03333333333333333,0.10000000000000002,0.05,0.1,0.26666666666666666,0.3,0.475,0.475,0.10000000000000002,0.10000000000000002,0.175,0.275,0.2222222222222222,0.16666666666666666,13.0,14.0,0.0,0.06666666666666667,0.0,0.05,0.2316066386814679,0.17867382833843673,,,0.33333333333333326,0.37500000000000006,0.28571428571428575,0.3684210526315789
26,T1,2017-08-14,,Galatasaray,Kayserispor,0.4,0.1,0.3,0.1,H,H,0.65,0.3,0.4,0.1,0.08,0.225,0.35,1.0,0.0,2,2,0.25,0.2,0.1,0.05,0.525,0.675,0.47500000000000003,0.22499999999999998,0.30000000000000004,0.35,0.225,0.125,0.5,0.6666666666666666,9.0,8.0,0.1,0.0,0.05,0.0,0.08530982506035442,0.2414697330168093,,,0.8333333333333333,0.5714285714285715,0.4444444444444445,0.47368421052631576
