,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
0,E1,08/08/14,Blackburn,Cardiff,1.0,1.0,D,1.0,1.0,D,A Madley,12.0,6.0,3.0,3.0,6.0,14.0,4.0,5.0,1.0,3.0,0.0,0.0,2.3,3.3,3.5,2.25,3.3,3.0,2.2,3.1,3.0,2.3,3.3,3.1,2.25,3.47,3.48,2.2,3.3,3.3,2.25,3.3,3.2,2.3,3.4,3.4,44.0,2.32,2.23,3.55,3.31,3.53,3.26,43.0,2.05,1.96,1.94,1.83,21.0,0.0,1.69,1.62,2.47,2.31,2.12,3.53,3.74
1,E1,09/08/14,Brentford,Charlton,1.0,1.0,D,0.0,0.0,D,J Adcock,14.0,13.0,4.0,4.0,3.0,13.0,11.0,5.0,1.0,1.0,0.0,0.0,2.0,3.5,4.2,2.0,3.2,3.75,2.0,3.2,3.3,2.0,3.3,3.75,1.93,3.58,4.41,1.95,3.4,4.0,1.95,3.4,4.0,1.95,3.5,4.33,42.0,2.02,1.95,3.59,3.37,4.39,3.96,40.0,2.17,2.09,1.8,1.71,18.0,-0.5,2.06,1.93,1.99,1.92,1.99,3.59,4.18
2,E1,09/08/14,Brighton,Sheffield Weds,0.0,1.0,A,0.0,1.0,A,J Linington,11.0,5.0,3.0,1.0,13.0,13.0,4.0,4.0,3.0,1.0,1.0,0.0,1.95,3.5,4.5,1.91,3.25,4.0,1.75,3.3,4.2,1.85,3.4,4.33,1.91,3.56,4.53,1.91,3.3,4.33,1.9,3.3,4.33,1.92,3.5,4.5,42.0,1.98,1.89,3.55,3.36,4.6,4.27,36.0,2.25,2.12,1.77,1.69,18.0,-0.5,1.93,1.88,2.02,1.97,1.97,3.49,4.42
3,E1,09/08/14,Derby,Rotherham,1.0,0.0,H,0.0,0.0,D,K Friend,10.0,16.0,3.0,6.0,8.0,11.0,8.0,3.0,0.0,1.0,0.0,0.0,1.57,4.33,6.5,1.55,4.0,5.5,1.6,3.6,4.8,1.57,4.0,5.5,1.58,4.31,6.24,1.57,4.0,5.5,1.57,4.0,5.8,1.6,4.3,6.0,42.0,1.61,1.56,4.33,4.01,6.5,5.88,38.0,1.8,1.74,2.2,2.06,20.0,-1.0,2.05,1.96,1.94,1.88,1.59,4.34,6.27
4,E1,09/08/14,Huddersfield,Bournemouth,0.0,4.0,A,0.0,2.0,A,S Duncan,16.0,12.0,5.0,7.0,15.0,8.0,7.0,4.0,2.0,1.0,0.0,0.0,2.7,3.4,2.8,2.6,3.2,2.6,2.5,3.1,2.6,2.5,3.3,2.75,2.75,3.38,2.74,2.7,3.1,2.7,2.63,3.25,2.63,2.7,3.4,2.75,41.0,2.78,2.63,3.4,3.24,2.8,2.66,41.0,2.08,1.97,1.89,1.81,20.0,0.0,1.96,1.9,1.99,1.93,2.75,3.46,2.73
5,E1,09/08/14,Ipswich,Fulham,2.0,1.0,H,1.0,0.0,H,S Martin,14.0,13.0,5.0,3.0,14.0,9.0,5.0,3.0,3.0,0.0,0.0,0.0,2.7,3.4,2.8,2.6,3.2,2.6,2.5,3.1,2.6,2.5,3.3,2.75,2.6,3.42,2.87,2.7,3.1,2.7,2.63,3.2,2.75,2.7,3.4,2.8,42.0,2.74,2.59,3.42,3.22,2.9,2.72,38.0,2.15,2.05,1.85,1.74,20.0,0.0,1.92,1.87,2.05,1.96,2.43,3.42,3.16
6,E1,09/08/14,Middlesbrough,Birmingham,2.0,0.0,H,1.0,0.0,H,G Salisbury,20.0,4.0,8.0,0.0,9.0,13.0,11.0,2.0,1.0,1.0,0.0,0.0,1.8,3.75,5.0,1.8,3.3,4.5,1.8,3.2,4.0,1.83,3.5,4.33,1.85,3.65,4.73,1.83,3.4,4.5,1.8,3.5,4.5,1.83,3.75,4.8,42.0,1.85,1.8,3.75,3.5,5.01,4.5,40.0,2.1,2.02,1.87,1.77,17.0,-0.75,2.11,2.04,1.87,1.82,1.72,3.89,5.5
7,E1,09/08/14,Millwall,Leeds,2.0,0.0,H,1.0,0.0,H,O Langford,14.0,9.0,6.0,3.0,8.0,11.0,4.0,5.0,0.0,0.0,0.0,0.0,2.38,3.4,3.25,2.2,3.2,3.2,2.3,3.1,2.8,2.3,3.3,3.0,2.24,3.44,3.4,2.38,3.1,3.1,2.25,3.3,3.25,2.3,3.4,3.3,42.0,2.38,2.26,3.44,3.28,3.45,3.18,40.0,2.13,2.03,1.85,1.76,18.0,0.0,1.73,1.62,2.47,2.31,2.08,3.49,3.97
8,E1,09/08/14,Nott'm Forest,Blackpool,2.0,0.0,H,2.0,0.0,H,T Harrington,15.0,7.0,4.0,1.0,14.0,10.0,7.0,2.0,1.0,2.0,0.0,0.0,1.33,5.5,11.0,1.28,5.25,9.0,1.3,4.4,8.5,1.33,5.0,8.5,1.35,5.58,9.36,1.33,5.0,9.0,1.3,5.25,9.5,1.3,5.5,11.0,39.0,1.36,1.31,5.7,5.18,11.02,9.42,33.0,1.79,1.69,2.3,2.12,20.0,-1.5,1.96,1.92,2.0,1.92,1.45,4.84,8.19
9,E1,09/08/14,Watford,Bolton,3.0,0.0,H,2.0,0.0,H,C Boyeson,18.0,16.0,5.0,4.0,9.0,18.0,4.0,7.0,0.0,0.0,0.0,0.0,2.1,3.6,3.75,2.0,3.3,3.6,2.0,3.2,3.3,2.1,3.4,3.4,2.04,3.69,3.78,2.1,3.3,3.5,2.05,3.4,3.6,2.1,3.6,3.6,42.0,2.15,2.06,3.68,3.4,3.85,3.53,38.0,2.0,1.86,2.03,1.91,19.0,-0.25,1.86,1.79,2.18,2.07,2.0,3.77,3.91
