,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
0,E1,03/08/2018,Reading,Derby,1,2,A,0.0,0.0,D,R Jones,8.0,11.0,5.0,3.0,14.0,16.0,2.0,4.0,3.0,4.0,0.0,0.0,3.6,3.3,2.25,3.5,3.2,2.2,3.4,3.15,2.15,3.61,3.33,2.23,3.5,3.2,2.2,3.6,3.3,2.25,41,3.75,3.44,3.36,3.23,2.28,2.21,38,2.25,2.18,1.73,1.67,20,0.25,2.01,1.96,1.95,1.88,3.78,3.29,2.19
1,E1,04/08/2018,Birmingham,Norwich,2,2,D,0.0,0.0,D,P Bankes,16.0,16.0,7.0,7.0,15.0,10.0,4.0,4.0,0.0,3.0,0.0,0.0,2.6,3.3,3.0,2.4,3.25,2.9,2.45,3.05,2.85,2.61,3.2,3.04,2.5,3.2,2.88,2.55,3.3,3.0,40,2.65,2.51,3.3,3.16,3.04,2.9,35,2.35,2.21,1.7,1.64,19,-0.25,2.23,2.15,1.77,1.72,2.86,3.14,2.79
2,E1,04/08/2018,Brentford,Rotherham,5,1,H,2.0,0.0,H,O Langford,14.0,9.0,10.0,5.0,15.0,10.0,13.0,3.0,0.0,2.0,0.0,0.0,1.5,4.75,7.0,1.48,4.1,6.5,1.48,4.25,5.9,1.52,4.45,6.92,1.5,4.4,5.8,1.5,4.75,6.5,38,1.55,1.5,4.75,4.33,7.08,6.32,35,1.7,1.64,2.26,2.21,22,-1.0,1.89,1.83,2.09,2.01,1.56,4.38,6.3
3,E1,04/08/2018,Bristol City,Nott'm Forest,1,1,D,1.0,0.0,H,D Bond,18.0,16.0,6.0,6.0,8.0,17.0,7.0,9.0,0.0,4.0,0.0,0.0,2.6,3.4,2.87,2.5,3.25,2.75,2.45,3.15,2.8,2.57,3.29,3.0,2.5,3.25,2.8,2.55,3.4,3.0,41,2.66,2.53,3.4,3.23,3.0,2.83,38,2.13,2.02,1.83,1.77,19,-0.25,2.25,2.16,1.77,1.71,2.77,3.33,2.74
4,E1,04/08/2018,Ipswich,Blackburn,2,2,D,1.0,2.0,A,A Davies,9.0,6.0,3.0,2.0,11.0,21.0,3.0,0.0,2.0,3.0,0.0,0.0,2.75,3.25,2.8,2.5,3.25,2.75,2.6,3.05,2.7,2.8,3.17,2.83,2.75,3.0,2.7,2.75,3.25,2.8,40,2.8,2.68,3.25,3.12,2.83,2.74,36,2.28,2.2,1.7,1.65,18,-0.25,2.36,2.28,1.69,1.65,3.23,3.15,2.51
5,E1,04/08/2018,Millwall,Middlesbrough,2,2,D,2.0,0.0,H,K Friend,9.0,12.0,2.0,3.0,13.0,6.0,6.0,6.0,3.0,2.0,0.0,0.0,2.75,3.2,2.87,2.7,3.1,2.65,2.65,2.95,2.7,2.84,3.1,2.85,2.7,3.1,2.7,2.8,3.2,2.8,41,2.85,2.74,3.2,3.05,2.87,2.73,35,2.46,2.32,1.63,1.58,19,0.0,1.97,1.92,1.98,1.92,2.75,3.05,2.99
6,E1,04/08/2018,Preston,QPR,1,0,H,0.0,0.0,D,D England,15.0,8.0,3.0,2.0,15.0,13.0,6.0,4.0,0.0,2.0,0.0,0.0,1.9,3.6,4.5,1.95,3.3,3.9,1.85,3.35,4.1,1.93,3.53,4.49,1.85,3.6,4.0,1.95,3.6,4.2,41,1.96,1.91,3.6,3.43,4.5,4.09,38,2.13,2.02,1.84,1.77,18,-0.5,1.97,1.92,1.99,1.93,1.97,3.58,4.18
7,E1,04/08/2018,Sheffield United,Swansea,1,2,A,0.0,0.0,D,J Simpson,12.0,9.0,2.0,4.0,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,2.25,3.4,3.5,2.3,3.2,3.25,2.2,3.1,3.3,2.26,3.3,3.56,2.25,3.3,3.2,2.25,3.4,3.5,41,2.3,2.23,3.4,3.22,3.56,3.36,37,2.29,2.19,1.72,1.66,20,-0.25,1.97,1.92,1.98,1.92,1.99,3.48,4.23
8,E1,04/08/2018,West Brom,Bolton,1,2,A,1.0,1.0,D,G Eltringham,20.0,11.0,3.0,4.0,9.0,14.0,10.0,6.0,1.0,0.0,0.0,0.0,1.44,4.5,9.0,1.44,4.2,7.5,1.45,4.2,6.8,1.45,4.53,8.52,1.4,4.5,7.5,1.45,4.5,8.0,41,1.5,1.44,4.53,4.3,9.0,7.54,39,2.0,1.89,1.96,1.89,21,-1.0,1.8,1.75,2.18,2.1,1.43,4.39,9.84
9,E1,04/08/2018,Wigan,Sheffield Weds,3,2,H,2.0,1.0,H,T Robinson,21.0,8.0,10.0,4.0,12.0,12.0,3.0,3.0,1.0,3.0,0.0,1.0,2.2,3.4,3.6,2.2,3.25,3.3,2.15,3.1,3.35,2.23,3.28,3.66,2.2,3.3,3.3,2.25,3.4,3.5,41,2.25,2.2,3.4,3.23,3.66,3.41,37,2.25,2.18,1.72,1.66,20,-0.25,1.95,1.89,2.02,1.96,2.11,3.36,3.93
10,E1,05/08/2018,Leeds,Stoke,3,1,H,2.0,0.0,H,S Duncan,11.0,9.0,5.0,5.0,14.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,2.75,3.3,2.8,2.6,3.25,2.65,2.65,3.15,2.6,2.81,3.25,2.76,2.7,3.2,2.62,2.7,3.3,2.63,39,2.81,2.7,3.3,3.2,2.8,2.65,35,2.13,2.05,1.81,1.75,18,0.25,1.7,1.66,2.34,2.26,2.97,3.31,2.59
11,E1,06/08/2018,Hull,Aston Villa,1,3,A,1.0,1.0,D,A Madley,11.0,9.0,3.0,5.0,12.0,9.0,4.0,2.0,0.0,2.0,0.0,0.0,2.75,3.3,2.8,2.55,3.2,2.75,2.55,3.15,2.75,2.72,3.24,2.86,2.6,3.2,2.75,2.6,3.3,2.75,39,2.75,2.61,3.3,3.19,2.86,2.76,34,2.16,2.06,1.8,1.73,18,-0.25,2.31,2.24,1.71,1.66,3.21,3.27,2.45
12,E1,07/08/2018,Middlesbrough,Sheffield United,3,0,H,3.0,0.0,H,R Jones,13.0,17.0,5.0,4.0,10.0,13.0,7.0,6.0,0.0,3.0,0.0,0.0,2.25,3.3,3.6,2.05,3.3,3.6,2.15,3.1,3.4,2.26,3.28,3.6,2.2,3.1,3.5,2.25,3.3,3.6,37,2.3,2.2,3.3,3.17,3.73,3.46,34,2.38,2.25,1.67,1.62,18,-0.25,1.95,1.9,1.99,1.95,2.51,3.21,3.17
13,E1,07/08/2018,Nott'm Forest,West Brom,1,1,D,0.0,0.0,D,D England,20.0,10.0,5.0,2.0,12.0,10.0,7.0,6.0,2.0,1.0,0.0,0.0,2.54,3.3,3.0,2.45,3.2,2.9,2.45,3.05,2.9,2.56,3.22,3.07,2.4,3.2,3.0,2.55,3.2,3.0,36,2.57,2.48,3.3,3.16,3.1,2.95,34,2.22,2.13,1.75,1.69,16,-0.25,2.19,2.12,1.8,1.75,2.78,3.27,2.78
14,E1,11/08/2018,Aston Villa,Wigan,3,2,H,1.0,1.0,D,J Simpson,17.0,10.0,6.0,3.0,17.0,16.0,3.0,4.0,1.0,4.0,0.0,0.0,2.0,3.5,4.1,1.95,3.4,4.2,1.95,3.3,3.8,2.02,3.39,4.25,2.0,3.3,3.75,2.05,3.5,4.0,39,2.05,1.99,3.5,3.36,4.25,3.91,37,2.11,2.03,1.85,1.78,19,-0.25,1.77,1.72,2.24,2.15,1.97,3.49,4.33
