,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
0,F1,07/08/15,Lille,Paris SG,0.0,1.0,A,0.0,0.0,D,12.0,7.0,2.0,2.0,20.0,17.0,3.0,2.0,3.0,2.0,0.0,1.0,6.5,3.6,1.57,6.75,3.75,1.65,4.65,3.4,1.75,6.0,3.5,1.67,6.64,3.78,1.65,6.0,3.6,1.62,7.0,3.8,1.62,42.0,7.0,6.12,3.8,3.61,1.75,1.62,39.0,2.35,2.24,1.67,1.63,25.0,0.75,2.11,2.03,1.85,1.8,7.58,3.91,1.58
1,F1,08/08/15,Bastia,Rennes,2.0,1.0,H,0.0,1.0,A,11.0,6.0,3.0,3.0,15.0,19.0,6.0,2.0,0.0,1.0,1.0,0.0,2.6,3.1,2.8,2.6,2.9,2.9,2.3,3.1,3.1,2.5,2.88,2.88,2.71,3.09,3.0,2.6,2.9,3.0,2.63,3.1,3.1,45.0,2.71,2.56,3.18,3.02,3.1,2.92,37.0,2.66,2.51,1.55,1.5,27.0,0.0,1.87,1.8,2.1,2.03,2.81,2.93,3.1
2,F1,08/08/15,Marseille,Caen,0.0,1.0,A,0.0,1.0,A,17.0,8.0,4.0,4.0,10.0,10.0,14.0,2.0,1.0,0.0,0.0,0.0,1.57,4.0,6.0,1.55,4.33,6.0,1.55,3.7,6.0,1.5,3.8,5.75,1.56,4.35,6.59,1.57,4.0,5.5,1.55,4.4,6.5,45.0,1.6,1.55,4.4,4.01,6.59,6.0,42.0,1.75,1.67,2.33,2.15,31.0,-1.0,2.0,1.92,1.95,1.9,1.57,4.13,7.04
3,F1,08/08/15,Montpellier,Angers,0.0,2.0,A,0.0,1.0,A,11.0,16.0,4.0,6.0,12.0,15.0,5.0,9.0,3.0,2.0,0.0,0.0,1.83,3.4,4.75,1.75,3.2,5.25,1.8,3.4,4.35,1.75,3.1,4.75,1.81,3.44,5.53,1.75,3.3,5.5,1.8,3.5,5.5,45.0,1.83,1.77,3.5,3.32,5.53,5.04,37.0,2.56,2.41,1.6,1.54,26.0,-0.5,1.84,1.78,2.13,2.06,1.84,3.42,5.42
4,F1,08/08/15,Nantes,Guingamp,1.0,0.0,H,0.0,0.0,D,9.0,10.0,4.0,4.0,13.0,16.0,6.0,2.0,2.0,2.0,0.0,0.0,2.2,3.1,3.6,2.2,3.0,3.5,2.1,3.15,3.45,2.1,2.9,3.6,2.2,3.11,4.01,2.25,3.1,3.4,2.15,3.1,4.2,45.0,2.25,2.16,3.19,3.04,4.2,3.69,37.0,2.82,2.69,1.5,1.44,25.0,-0.25,1.87,1.82,2.1,2.01,2.37,3.01,3.76
5,F1,08/08/15,Nice,Monaco,1.0,2.0,A,1.0,0.0,H,5.0,19.0,2.0,6.0,18.0,18.0,2.0,10.0,2.0,2.0,1.0,0.0,4.0,3.1,2.05,3.9,3.25,2.1,3.1,3.1,2.3,3.6,3.1,2.0,4.14,3.38,2.05,4.0,3.1,2.05,4.3,3.3,2.05,45.0,4.3,3.78,3.38,3.2,2.3,2.06,37.0,2.5,2.35,1.62,1.57,30.0,0.5,1.88,1.79,2.13,2.05,4.36,3.42,1.99
6,F1,08/08/15,Troyes,Ajaccio GFCO,0.0,0.0,D,0.0,0.0,D,12.0,6.0,4.0,1.0,11.0,8.0,9.0,3.0,0.0,4.0,0.0,0.0,2.05,3.2,3.75,2.05,3.25,3.6,2.1,3.15,3.45,2.0,2.9,3.8,2.03,3.26,4.43,2.1,3.1,3.8,1.95,3.2,4.33,43.0,2.1,2.01,3.3,3.18,4.43,3.97,35.0,2.56,2.38,1.6,1.56,25.0,-0.5,2.07,1.99,1.9,1.84,2.0,3.42,4.41
7,F1,09/08/15,Bordeaux,Reims,1.0,2.0,A,1.0,0.0,H,14.0,14.0,4.0,6.0,14.0,12.0,4.0,3.0,2.0,2.0,0.0,0.0,1.67,3.75,5.5,1.7,3.6,5.0,1.7,3.5,4.85,1.62,3.5,5.25,1.69,3.85,5.8,1.73,3.6,5.0,1.7,3.8,5.75,45.0,1.73,1.67,3.85,3.65,6.0,5.31,44.0,2.08,1.98,1.89,1.8,26.0,-0.75,1.92,1.86,2.03,1.96,1.72,3.8,5.7
8,F1,09/08/15,Lyon,Lorient,0.0,0.0,D,0.0,0.0,D,21.0,10.0,6.0,5.0,11.0,12.0,7.0,2.0,1.0,2.0,0.0,0.0,1.57,4.0,6.0,1.57,4.0,6.5,1.5,3.9,6.3,1.53,3.8,6.0,1.57,4.16,6.67,1.6,4.0,5.5,1.57,4.3,6.5,45.0,1.6,1.55,4.3,3.92,7.0,6.17,43.0,1.9,1.82,2.07,1.97,31.0,-1.0,2.04,1.95,1.93,1.87,1.55,4.24,7.2
9,F1,09/08/15,Toulouse,St Etienne,2.0,1.0,H,1.0,1.0,D,9.0,11.0,3.0,2.0,10.0,10.0,3.0,4.0,0.0,1.0,1.0,0.0,3.1,3.1,2.4,2.75,3.1,2.6,2.6,3.2,2.6,2.9,2.9,2.4,3.12,3.12,2.6,3.0,3.1,2.45,3.2,3.2,2.5,45.0,3.2,2.93,3.2,3.08,2.64,2.49,37.0,2.56,2.37,1.62,1.56,27.0,0.0,2.21,2.07,1.83,1.77,2.71,3.18,2.93
